,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1950-01-01,1221.3548202491286,1319.4580164467143,1372.1718493361045,810.2231344249818,-66.40923979266668
1950-01-02,946.1386873611642,1289.6502380543754,1122.3360277958534,956.319046374943,-63.54826136924836
1950-01-03,992.8804028284691,1172.722298649702,1115.3955299586567,1115.600157567504,-72.88275473390266
1950-01-04,999.3296279697762,897.7219891499715,704.2564459079754,837.7190032197726,-70.53124654987762
1950-01-05,1064.9402278266016,428.6292827611272,-90.90921272714606,1040.085552181329,-59.07078569426544
1950-01-06,757.0824328048715,267.9408048585181,-277.06290295284424,1944.4422930409003,-6.254668879200515
1950-01-07,509.78619777717773,268.938159948524,-104.30699844749229,1936.7750131821056,14.652537350909633
1950-01-08,590.5585338916928,331.19856079194517,26.03719628544926,1535.3019526170456,-0.2150268460692634
1950-01-09,430.2141219207378,235.37252897205377,39.836320045559255,1610.9797117985875,-15.215115951138955
1950-01-10,178.55521411626856,197.5207644427155,-56.114282974352875,1286.6850564414815,-0.4830179051756231
1950-01-11,-178.19154623719726,22.723923040314634,104.53967095211945,722.6657823112263,17.114375277911872
1950-01-12,-492.3449845980149,-54.234746125026945,346.5998603982135,4.7387482338113145,29.461456394929897
1950-01-13,-428.19991607682397,86.84438375352859,133.10886977715987,-260.414313948791,16.810464096575885
1950-01-14,-173.32895282551303,125.09446109400731,300.6167197817222,-46.99114409072781,5.216726097087567
1950-01-15,54.641548614864995,89.64784652152359,883.9716848293284,-81.42710000605277,8.369067601232562
1950-01-16,47.8515371805774,98.43433984895923,835.1805403419525,301.2732361012427,21.41012108303444
1950-01-17,627.6835783940402,100.54900757505752,120.11209081624534,502.42339285110063,5.993650635220501
1950-01-18,1172.4622422901057,36.54003533700974,-107.14680334899889,308.7149289785446,-4.052519852870442
1950-01-19,994.5892114439808,428.2607701699899,-265.4362784193938,87.80162164304987,3.521339887291488
1950-01-20,981.028707443602,714.2960638433233,-595.6125750658065,184.3632300432214,19.28302316874479
1950-01-21,529.7194039652418,677.8824454307052,-598.9625424941996,-82.3613050028906,6.034434425094904
1950-01-22,-231.99776682913006,492.62065265428083,-897.112438768144,71.14725189430821,8.493917356574368
1950-01-23,-657.365253542194,345.7590016032293,-899.7362691416918,-46.93742151775809,34.92041847255518
1950-01-24,-756.4835847533062,383.31638832435806,-814.507085548399,-616.61747478843,45.1070507954409
1950-01-25,-608.9723705961865,499.6424746744352,-250.58971265491138,-488.4499722213697,26.166296947922334
1950-01-26,-55.89772976513642,654.4336082959796,12.258307255729756,-121.56923011936357,4.0953090657422315
1950-01-27,541.377477900579,796.4560186592992,-163.02500858056376,277.76430954932613,11.043033307320734
1950-01-28,567.0928681201993,670.1409801749296,-367.1303533098288,262.9009759153034,21.634304230118456
1950-01-29,268.30071093097837,587.7463094455641,-314.453955128184,94.57096166171634,20.75394189806
1950-01-30,236.76862959070434,347.3089551843738,-596.8239743539631,141.88260952607178,14.441471996293599
1950-01-31,334.046240625133,-34.62844527802816,-578.1905311017696,-22.294360778840435,7.450115857210882
1950-02-01,834.285569366493,-174.75103912171983,-957.843938350423,-396.31239508027625,8.15664071561842
1950-02-02,1193.8291439518778,-229.83479199953192,-727.4494786563179,-534.5037330890592,10.577105024803414
1950-02-03,896.489993838619,-415.64815395772365,-248.88878930609619,-623.0345198812041,23.715572596307027
1950-02-04,506.37273568086266,-418.39482152567274,-471.7960167714846,-491.97674601209366,34.340229808642746
1950-02-05,394.1333527609004,-438.10487750847045,-920.1620312281781,-522.9725559666938,8.103303434134476
1950-02-06,154.61942169506938,-417.0510176239684,-559.3554347862402,-756.3111720542175,-5.868435863882217
1950-02-07,-20.666751084801913,-374.21287129551826,-103.93741297921376,-733.363039400694,-18.683942097685705
1950-02-08,42.0640510668613,-236.9853050041515,389.0145897967303,-706.2272512437551,-29.44161068254505
1950-02-09,89.70439651451892,-129.01730619553322,857.9362389043176,-712.9336464758015,-13.870683758462324
1950-02-10,77.68890012282846,-69.35785538198905,1040.2322534052114,-462.0148756697743,18.37598941414058
1950-02-11,44.8944480168058,-215.80905351889137,899.3079752051506,-148.97040173525338,25.847142962732256
1950-02-12,-45.80279193627804,-179.12798145256542,623.8883817837667,183.8970704695357,24.275015905266965
1950-02-13,-96.92921911371596,-123.47767426245335,466.1771674323357,321.1882591746871,8.684758977296548
1950-02-14,-208.78016695072418,-170.44298375796006,241.15822998919518,159.26229532217562,37.8427309549905
1950-02-15,-454.9951716259799,-148.64134230165578,237.8473051847714,-143.72905942179256,79.02656499275936
1950-02-16,-683.6792257015018,-208.04418770173663,392.72553733178086,-401.05826034184906,64.65721270223278
1950-02-17,-691.3072851486297,-146.44042965893635,85.60848535621946,-438.6309515693058,48.885185765832254
1950-02-18,-677.7174537941494,-191.09204869751932,-245.34427787124494,-386.8676343512117,1.5658837497199964
1950-02-19,-690.7997022411,-135.65937742152968,-608.0860170506743,-215.39861922005335,18.78140223739138
1950-02-20,-615.7979846882095,70.01919516370934,-1192.2776787462974,-365.1007190659551,4.524345060314344
1950-02-21,-431.1417938163573,451.0667500102401,-1297.0499182117692,-15.669950594681502,19.45771617501504
1950-02-22,-420.60057612841797,146.85474577016493,-707.7945476377475,73.24091041396895,14.545740264441996
1950-02-23,-381.6604284484392,332.64936499001027,-187.97578536808675,190.00526649118515,15.361476554991002
1950-02-24,-352.71172220218057,235.5483394807408,35.87804608246247,-100.62438868064275,-12.889911326791676
