,sstWorld_cluster1,sstWorld_cluster2,sstWorld_cluster3,sstWorld_cluster4,sstWorld_cluster5
1950-03-08,-0.18740845,-0.18054199,-0.17440796,-0.74224854,-0.69732666
1950-03-09,-0.1991272,-0.2069397,-0.14730835,-0.7281494,-0.6968384
1950-03-10,-0.2116394,-0.2288208,-0.11831665,-0.71484375,-0.6949158
1950-03-11,-0.22390747,-0.24890137,-0.08880615,-0.6984558,-0.6938782
1950-03-12,-0.23739624,-0.26327515,-0.06088257,-0.6824646,-0.692688
1950-03-13,-0.25305176,-0.27490234,-0.031555176,-0.66400146,-0.69155884
1950-03-14,-0.26763916,-0.2809143,-0.0022583008,-0.64508057,-0.68927
1950-03-15,-0.2842102,-0.28399658,0.0256958,-0.6265869,-0.6878967
1950-03-16,-0.29885864,-0.28292847,0.048461914,-0.6102905,-0.68777466
1950-03-17,-0.3142395,-0.27597046,0.04940796,-0.59750366,-0.6893616
1950-03-18,-0.32159424,-0.26672363,0.032073975,-0.59280396,-0.6926575
1950-03-19,-0.32125854,-0.25457764,0.013763428,-0.59762573,-0.6947632
1950-03-20,-0.31375122,-0.23916626,-0.0029907227,-0.6116028,-0.6982422
1950-03-21,-0.2998047,-0.22262573,-0.02230835,-0.6289673,-0.7019348
1950-03-22,-0.28155518,-0.20272827,-0.049987793,-0.6531677,-0.7048645
1950-03-23,-0.25857544,-0.18243408,-0.067718506,-0.6830139,-0.70980835
1950-03-24,-0.23132324,-0.15975952,-0.084198,-0.71661377,-0.7137146
1950-03-25,-0.20004272,-0.13323975,-0.10006714,-0.7546387,-0.71655273
1950-03-26,-0.16601562,-0.105163574,-0.1083374,-0.79714966,-0.71902466
1950-03-27,-0.12765503,-0.07507324,-0.10430908,-0.84558105,-0.7234802
1950-03-28,-0.08654785,-0.04458618,-0.10070801,-0.8974304,-0.72784424
1950-03-29,-0.043029785,-0.013092041,-0.09637451,-0.9526062,-0.73135376
1950-03-30,0.0019226074,0.017913818,-0.092315674,-1.0099792,-0.73599243
1950-03-31,0.04650879,0.04949951,-0.08847046,-1.0679016,-0.7400818
1950-04-01,0.09161377,0.08047485,-0.0836792,-1.1266174,-0.74716187
1950-04-02,0.13476562,0.10983276,-0.0796814,-1.1838379,-0.75216675
1950-04-03,0.17797852,0.1378479,-0.07550049,-1.2392883,-0.7592163
1950-04-04,0.22033691,0.16448975,-0.070892334,-1.294281,-0.76290894
1950-04-05,0.26327515,0.19000244,-0.06781006,-1.3479004,-0.76864624
1950-04-06,0.3048401,0.21603394,-0.06375122,-1.4005127,-0.773468
1950-04-07,0.34326172,0.23983765,-0.059448242,-1.4499207,-0.7779846
1950-04-08,0.3760376,0.26062012,-0.055633545,-1.4971008,-0.7811279
1950-04-09,0.40512085,0.2774353,-0.0519104,-1.5404663,-0.78356934
1950-04-10,0.42886353,0.2906189,-0.048339844,-1.5811157,-0.7855835
1950-04-11,0.44702148,0.301239,-0.043640137,-1.6173706,-0.7876587
1950-04-12,0.46017456,0.3065796,-0.041137695,-1.6481628,-0.78964233
1950-04-13,0.46704102,0.30859375,-0.037841797,-1.6734619,-0.7907715
1950-04-14,0.46765137,0.30743408,-0.03466797,-1.692688,-0.79174805
1950-04-15,0.46124268,0.30218506,-0.032226562,-1.70224,-0.79156494
1950-04-16,0.44815063,0.292511,-0.030029297,-1.7030029,-0.7909241
1950-04-17,0.43173218,0.28573608,-0.02722168,-1.6922913,-0.7901306
1950-04-18,0.41464233,0.28363037,-0.025787354,-1.6732483,-0.7888489
1950-04-19,0.39749146,0.28338623,-0.024871826,-1.6448364,-0.7880554
1950-04-20,0.38174438,0.2861328,-0.023345947,-1.6080322,-0.7859802
1950-04-21,0.36392212,0.2915039,-0.022033691,-1.5666199,-0.78564453
1950-04-22,0.34796143,0.29916382,-0.020721436,-1.5197449,-0.78445435
1950-04-23,0.33267212,0.3093567,-0.019439697,-1.467926,-0.78359985
1950-04-24,0.32061768,0.3204651,-0.018035889,-1.4108887,-0.7832947
1950-04-25,0.30752563,0.3317871,-0.016418457,-1.3475342,-0.78289795
1950-04-26,0.29385376,0.3460083,-0.015075684,-1.2814941,-0.7805481
1950-04-27,0.2808838,0.36203003,-0.013885498,-1.2109985,-0.779541
1950-04-28,0.26919556,0.3774414,-0.012756348,-1.1391296,-0.77752686
1950-04-29,0.25946045,0.3937378,-0.011566162,-1.0642395,-0.7748108
1950-04-30,0.25097656,0.41036987,-0.010345459,-0.99087524,-0.7720947
1950-05-01,0.2437439,0.42837524,-0.009246826,-0.91830444,-0.769104
1950-05-02,0.23776245,0.44735718,-0.00869751,-0.8479614,-0.7677307
1950-05-03,0.23330688,0.46557617,-0.0072631836,-0.78186035,-0.7658081
1950-05-04,0.23040771,0.48321533,-0.0064697266,-0.7184448,-0.76483154
1950-05-05,0.22866821,0.49938965,-0.006164551,-0.65774536,-0.7614136
1950-05-06,0.22659302,0.51483154,-0.0049438477,-0.6012573,-0.75927734
1950-05-07,0.2268982,0.5293884,-0.004486084,-0.5492554,-0.7565918
1950-05-08,0.2315979,0.5432739,-0.0046691895,-0.50164795,-0.7541199
1950-05-09,0.23944092,0.5578003,-0.0038146973,-0.460083,-0.7526245
1950-05-10,0.24987793,0.56918335,-0.0034484863,-0.42312622,-0.74868774
1950-05-11,0.26306152,0.582428,-0.0031433105,-0.3930664,-0.7452698
1950-05-12,0.27752686,0.59454346,-0.0033874512,-0.37020874,-0.74349976
1950-05-13,0.29464722,0.6051941,-0.0030212402,-0.3560791,-0.7398987
1950-05-14,0.31536865,0.611145,-0.0022277832,-0.35159302,-0.7369385
1950-05-15,0.34042358,0.6156311,-0.0019836426,-0.35614014,-0.7349243
1950-05-16,0.3668213,0.61608887,-0.0016479492,-0.36984253,-0.73287964
1950-05-17,0.3149109,0.6107788,-0.0013427734,-0.3883667,-0.732666
1950-05-18,-0.4135437,0.60131836,-0.001159668,-0.40841675,-0.7340698
1950-05-19,-0.411438,0.5881653,-0.0010986328,-0.4317932,-0.73791504
1950-05-20,-0.41455078,0.5720825,-0.0009765625,-0.4573059,-0.74276733
1950-05-21,-0.4227295,0.5527649,-0.00079345703,-0.48324585,-0.7484131
1950-05-22,-0.4363098,0.53308105,-0.00064086914,-0.5121155,-0.75335693
1950-05-23,-0.4534912,0.51052856,-0.0005187988,-0.5411682,-0.75994873
1950-05-24,-0.47418213,0.486969,-0.0009460449,-0.5708313,-0.7655029
1950-05-25,-0.4973755,0.46124268,-0.0004272461,-0.60058594,-0.7716675
1950-05-26,-0.52178955,0.43069458,-0.00091552734,-0.62991333,-0.7788391
1950-05-27,-0.5483093,0.3998108,-0.00036621094,-0.6581116,-0.7836914
1950-05-28,-0.5781555,0.36660767,-0.00091552734,-0.6838989,-0.78878784
1950-05-29,-0.60839844,0.33270264,-0.0008239746,-0.70999146,-0.79470825
1950-05-30,-0.63894653,0.29953003,-0.00024414062,-0.7343445,-0.79953
1950-05-31,-0.67453,0.2669983,-0.00024414062,-0.7565918,-0.8039551
1950-06-01,-0.7425842,0.23547363,-0.00012207031,-0.77767944,-0.80722046
1950-06-02,-0.7805786,0.20355225,0.0005493164,-0.79785156,-0.8099365
1950-06-03,-0.8156128,0.1736145,-0.00012207031,-0.81539917,-0.8121643
1950-06-04,-0.850708,0.14483643,-9.1552734e-05,-0.82928467,-0.81240845
1950-06-05,-0.8869934,0.11798096,-9.1552734e-05,-0.84207153,-0.81243896
1950-06-06,-0.92007446,0.09185791,-9.1552734e-05,-0.85028076,-0.8112793
1950-06-07,-0.9523926,0.06842041,-9.1552734e-05,-0.8561096,-0.8079834
1950-06-08,-0.9802551,0.047821045,-9.1552734e-05,-0.85879517,-0.8041687
1950-06-09,-1.0057068,0.03100586,-9.1552734e-05,-0.8597717,-0.7981262
1950-06-10,-1.0276489,0.015930176,-9.1552734e-05,-0.85861206,-0.7904968
1950-06-11,-1.0454712,0.0057373047,-9.1552734e-05,-0.8540344,-0.7812195
1950-06-12,-1.0611267,0.00091552734,-9.1552734e-05,-0.8461914,-0.76937866
1950-06-13,-1.072937,0.0007324219,-9.1552734e-05,-0.8345947,-0.7559509
1950-06-14,-1.0791016,0.0052490234,-9.1552734e-05,-0.81903076,-0.7400818
1950-06-15,-1.0826111,0.014587402,-9.1552734e-05,-0.80081177,-0.72146606
1950-06-16,-1.072815,0.024230957,-0.00012207031,-0.78674316,-0.70910645
1950-06-17,-1.0623779,0.031677246,-0.0007019043,-0.7786255,-0.7033081
1950-06-18,-1.0487366,0.036315918,-0.00064086914,-0.7756958,-0.7031555
1950-06-19,-1.0331726,0.038909912,-9.1552734e-05,-0.7786865,-0.7088623
1950-06-20,-1.0144958,0.038238525,-9.1552734e-05,-0.78622437,-0.7189331
1950-06-21,-0.9914551,0.0368042,0.0,-0.7983093,-0.73349
1950-06-22,-0.9660034,0.033325195,0.0007019043,-0.81329346,-0.7536621
1950-06-23,-0.93984985,0.02520752,0.00064086914,-0.8326111,-0.77963257
1950-06-24,-0.9122925,0.018005371,-9.1552734e-05,-0.855011,-0.8095093
1950-06-25,-0.88412476,0.009613037,-9.1552734e-05,-0.8819885,-0.8430481
1950-06-26,-0.85635376,0.0020751953,-9.1552734e-05,-0.91171265,-0.8791809
1950-06-27,-0.8266907,-0.006134033,-9.1552734e-05,-0.9442444,-0.9182739
1950-06-28,-0.79867554,-0.015533447,-9.1552734e-05,-0.97958374,-0.95932007
1950-06-29,-0.7713623,-0.024841309,-9.1552734e-05,-1.0167847,-1.002655
1950-06-30,-0.7477722,-0.034210205,-9.1552734e-05,-1.0550537,-1.0448303
1950-07-01,-0.7692261,-0.045898438,-9.1552734e-05,-1.0936279,-1.0888367
1950-07-02,-0.74017334,-0.05734253,-9.1552734e-05,-1.1320801,-1.1312256
1950-07-03,-0.7112427,-0.06665039,-9.1552734e-05,-1.1719971,-1.1739807
1950-07-04,-0.6809082,-0.07546997,-9.1552734e-05,-1.2102661,-1.2148438
1950-07-05,-0.651886,-0.084350586,-9.1552734e-05,-1.2492371,-1.2539062
1950-07-06,-0.62176514,-0.09085083,-9.1552734e-05,-1.2888184,-1.2933655
1950-07-07,-0.5951538,-0.09725952,-9.1552734e-05,-1.3261414,-1.3294067
1950-07-08,-0.57058716,-0.102508545,-9.1552734e-05,-1.3604736,-1.3627319
1950-07-09,-0.5494995,-0.10775757,-9.1552734e-05,-1.3953552,-1.3948364
1950-07-10,-0.52963257,-0.112457275,-9.1552734e-05,-1.4266052,-1.4233398
1950-07-11,-0.5133667,-0.11550903,-9.1552734e-05,-1.4559021,-1.447876
1950-07-12,-0.49786377,-0.11907959,-9.1552734e-05,-1.4806519,-1.4689026
1950-07-13,-0.48532104,-0.12054443,-9.1552734e-05,-1.5027466,-1.4841919
1950-07-14,-0.47711182,-0.120666504,-9.1552734e-05,-1.5219727,-1.4945068
1950-07-15,-0.47158813,-0.12069702,-9.1552734e-05,-1.5344238,-1.4998779
1950-07-16,-0.46432495,-0.12182617,-9.1552734e-05,-1.5388794,-1.4968872
1950-07-17,-0.48809814,-0.12249756,0.0,-1.5321655,-1.4862671
1950-07-18,-0.8132324,-0.12188721,0.00064086914,-1.5175476,-1.4706726
1950-07-19,-0.81832886,-0.12033081,-9.1552734e-05,-1.4937439,-1.4510193
1950-07-20,-0.8230591,-0.12011719,-9.1552734e-05,-1.4624329,-1.4255676
1950-07-21,-0.82873535,-0.11709595,-9.1552734e-05,-1.4235535,-1.3967896
1950-07-22,-0.8355408,-0.1149292,-9.1552734e-05,-1.3787231,-1.3615112
1950-07-23,-0.8409424,-0.111968994,-9.1552734e-05,-1.325531,-1.322998
1950-07-24,-0.84677124,-0.109436035,-9.1552734e-05,-1.2676086,-1.280365
1950-07-25,-0.8518982,-0.107910156,-9.1552734e-05,-1.2054443,-1.2346497
1950-07-26,-0.85821533,-0.10675049,-9.1552734e-05,-1.1378479,-1.1859131
1950-07-27,-0.86383057,-0.10809326,-9.1552734e-05,-1.0688477,-1.1346436
1950-07-28,-0.86846924,-0.10733032,-9.1552734e-05,-0.99664307,-1.0815125
1950-07-29,-0.8735962,-0.10876465,-9.1552734e-05,-0.92071533,-1.0286865
1950-07-30,-0.87927246,-0.10998535,0.0,-0.84472656,-0.9757385
1950-07-31,-0.88775635,-0.10964966,0.0007019043,-0.7684021,-0.92230225
1950-08-01,-0.92129517,-0.108062744,0.0007019043,-0.69039917,-0.8722229
1950-08-02,-0.92459106,-0.10638428,0.0007019043,-0.6142578,-0.8227234
1950-08-03,-0.9286499,-0.104003906,0.000579834,-0.5382385,-0.77557373
1950-08-04,-0.932251,-0.100128174,-0.00064086914,-0.46450806,-0.7312927
1950-08-05,-0.9352417,-0.09713745,-9.1552734e-05,-0.3925476,-0.6889038
1950-08-06,-0.93984985,-0.092681885,-9.1552734e-05,-0.32369995,-0.6511841
1950-08-07,-0.9449463,-0.088134766,-9.1552734e-05,-0.2591858,-0.616333
1950-08-08,-0.9499512,-0.084106445,-9.1552734e-05,-0.19918823,-0.5852356
1950-08-09,-0.95703125,-0.080444336,-9.1552734e-05,-0.1418457,-0.5578308
1950-08-10,-0.96481323,-0.07772827,-9.1552734e-05,-0.090026855,-0.53533936
1950-08-11,-0.97250366,-0.07531738,-9.1552734e-05,-0.043548584,-0.51742554
1950-08-12,-0.98727417,-0.07131958,-9.1552734e-05,-0.00390625,-0.50601196
1950-08-13,-0.99346924,-0.068725586,-9.1552734e-05,0.028900146,-0.5001221
1950-08-14,-0.99938965,-0.06512451,-9.1552734e-05,0.05480957,-0.50167847
1950-08-15,-1.0055237,-0.059173584,-9.1552734e-05,0.072784424,-0.51171875
1950-08-16,-1.0110779,-0.054016113,-9.1552734e-05,0.08218384,-0.5296631
1950-08-17,-1.0036316,-0.049224854,-9.1552734e-05,0.08251953,-0.5472717
1950-08-18,-0.9996338,-0.045013428,-6.1035156e-05,0.07287598,-0.5626526
1950-08-19,-0.99487305,-0.0435791,-6.1035156e-05,0.053863525,-0.5746765
1950-08-20,-0.98916626,-0.04333496,-3.0517578e-05,0.026123047,-0.5831604
1950-08-21,-0.9845886,-0.04257202,-3.0517578e-05,-0.010559082,-0.588562
1950-08-22,-0.9802551,-0.04257202,-3.0517578e-05,-0.0569458,-0.59295654
1950-08-23,-0.9771118,-0.04269409,-3.0517578e-05,-0.1105957,-0.59381104
1950-08-24,-0.97372437,-0.040252686,-3.0517578e-05,-0.17022705,-0.5953369
1950-08-25,-0.9684448,-0.038330078,-3.0517578e-05,-0.2373352,-0.59280396
1950-08-26,-0.9663391,-0.035705566,-3.0517578e-05,-0.31002808,-0.5904236
1950-08-27,-0.96380615,-0.0340271,-3.0517578e-05,-0.38705444,-0.58529663
1950-08-28,-0.9600525,-0.032348633,-3.0517578e-05,-0.46817017,-0.57855225
1950-08-29,-0.9558716,-0.030670166,-3.0517578e-05,-0.5543518,-0.57092285
1950-08-30,-0.9505005,-0.031219482,-3.0517578e-05,-0.642334,-0.56173706
1950-08-31,-0.9446411,-0.03475952,-6.1035156e-05,-0.73223877,-0.5506592
1950-09-01,-0.924469,-0.03778076,-0.00064086914,-0.8210449,-0.5397949
1950-09-02,-0.92089844,-0.041625977,-0.00064086914,-0.9078369,-0.5275574
1950-09-03,-0.91830444,-0.0446167,-0.00064086914,-0.99438477,-0.51446533
1950-09-04,-0.9164429,-0.04815674,-0.00064086914,-1.0768127,-0.5014343
1950-09-05,-0.9135132,-0.052886963,-0.00064086914,-1.1552429,-0.4873047
1950-09-06,-0.9097595,-0.056915283,-0.00064086914,-1.2290955,-0.4734497
1950-09-07,-0.90704346,-0.06048584,-0.00064086914,-1.3014221,-0.4604187
1950-09-08,-0.8989563,-0.064697266,-0.00064086914,-1.3688354,-0.44683838
1950-09-09,-0.89260864,-0.0687561,-0.00064086914,-1.4319458,-0.4335022
1950-09-10,-0.8876648,-0.071014404,-0.00064086914,-1.4885864,-0.42181396
1950-09-11,-0.88223267,-0.07525635,-0.00064086914,-1.5389099,-0.41088867
1950-09-12,-0.8768616,-0.07723999,-0.00064086914,-1.58255,-0.40127563
1950-09-13,-0.87298584,-0.0791626,-0.00064086914,-1.6177979,-0.39300537
1950-09-14,-0.86572266,-0.07937622,-0.00064086914,-1.6448059,-0.3859558
1950-09-15,-0.8581543,-0.07946777,-0.0006713867,-1.6625366,-0.37979126
1950-09-16,-0.8512573,-0.078552246,-0.0006713867,-1.6708069,-0.3758545
1950-09-17,-0.8427124,-0.07824707,-0.0006713867,-1.6690369,-0.374115
1950-09-18,-0.8352051,-0.0763855,-0.0006713867,-1.65802,-0.37390137
1950-09-19,-0.82940674,-0.072631836,-0.0006713867,-1.6380615,-0.37390137
1950-09-20,-0.8246765,-0.067596436,-0.0006713867,-1.6104736,-0.3751526
1950-09-21,-0.8206482,-0.061950684,-0.0006713867,-1.5773621,-0.37774658
1950-09-22,-0.8144531,-0.054901123,-0.0006713867,-1.5372925,-0.38046265
1950-09-23,-0.8097229,-0.04626465,-0.0006713867,-1.4924622,-0.38446045
1950-09-24,-0.80615234,-0.03640747,-0.00061035156,-1.4405212,-0.38833618
1950-09-25,-0.7996521,-0.024139404,-6.1035156e-05,-1.3829651,-0.39337158
1950-09-26,-0.7933655,-0.01171875,-6.1035156e-05,-1.3230286,-0.4005127
1950-09-27,-0.786438,-0.0010681152,-6.1035156e-05,-1.2580261,-0.40646362
1950-09-28,-0.780365,0.010986328,-6.1035156e-05,-1.1903076,-0.41256714
1950-09-29,-0.7755127,0.024230957,-6.1035156e-05,-1.1198425,-0.41845703
1950-09-30,-0.7701111,0.039611816,-9.1552734e-05,-1.0481567,-0.42440796
1950-10-01,-0.769928,0.054016113,-9.1552734e-05,-0.97665405,-0.4317627
1950-10-02,-0.76608276,0.06854248,-9.1552734e-05,-0.90560913,-0.43759155
1950-10-03,-0.76257324,0.084106445,-9.1552734e-05,-0.8371582,-0.4437561
1950-10-04,-0.76000977,0.100097656,-9.1552734e-05,-0.7687378,-0.44955444
1950-10-05,-0.7588196,0.11630249,-9.1552734e-05,-0.70306396,-0.45401
1950-10-06,-0.7565918,0.13357544,-9.1552734e-05,-0.6394043,-0.45913696
1950-10-07,-0.7559509,0.14990234,-9.1552734e-05,-0.5789795,-0.46289062
1950-10-08,-0.7551575,0.16720581,-9.1552734e-05,-0.5211487,-0.46572876
1950-10-09,-0.75601196,0.18466187,-9.1552734e-05,-0.46575928,-0.46835327
1950-10-10,-0.7571106,0.19949341,-9.1552734e-05,-0.41522217,-0.469635
1950-10-11,-0.756897,0.21334839,-9.1552734e-05,-0.36920166,-0.47061157
1950-10-12,-0.7593689,0.22494507,-9.1552734e-05,-0.32791138,-0.47097778
1950-10-13,-0.7606201,0.23535156,-9.1552734e-05,-0.2930603,-0.47094727
1950-10-14,-0.7640381,0.24349976,-9.1552734e-05,-0.26516724,-0.46984863
1950-10-15,-0.7680969,0.24960327,-9.1552734e-05,-0.24438477,-0.46871948
1950-10-16,-0.77423096,0.25177002,-9.1552734e-05,-0.23153687,-0.46643066
1950-10-17,-0.7840271,0.25213623,-9.1552734e-05,-0.22540283,-0.46377563
1950-10-18,-0.7766113,0.24850464,-9.1552734e-05,-0.22885132,-0.46051025
1950-10-19,-0.77038574,0.24551392,-9.1552734e-05,-0.24118042,-0.4607544
1950-10-20,-0.7625427,0.24267578,-9.1552734e-05,-0.2623291,-0.46188354
1950-10-21,-0.7547302,0.23995972,-9.1552734e-05,-0.29159546,-0.46551514
1950-10-22,-0.74209595,0.23947144,-9.1552734e-05,-0.32821655,-0.47213745
1950-10-23,-0.73721313,0.23800659,-9.1552734e-05,-0.37304688,-0.48086548
1950-10-24,-0.73147583,0.23547363,-9.1552734e-05,-0.42321777,-0.4909973
1950-10-25,-0.7263489,0.23342896,-6.1035156e-05,-0.4786377,-0.5029297
1950-10-26,-0.722229,0.23129272,-6.1035156e-05,-0.5377197,-0.51449585
1950-10-27,-0.71939087,0.23083496,-6.1035156e-05,-0.5993042,-0.52822876
1950-10-28,-0.71728516,0.2312622,-3.0517578e-05,-0.6633606,-0.5430908
1950-10-29,-0.71487427,0.22921753,-3.0517578e-05,-0.7290344,-0.55688477
1950-10-30,-0.7149658,0.22659302,-3.0517578e-05,-0.79641724,-0.5706787
1950-10-31,-0.6949768,0.22299194,-3.0517578e-05,-0.8637085,-0.58566284
1950-11-01,-0.45080566,0.21954346,-3.0517578e-05,-0.93133545,-0.60040283
1950-11-02,-0.44519043,0.21575928,-3.0517578e-05,-0.9986267,-0.6142578
1950-11-03,-0.43933105,0.21035767,-3.0517578e-05,-1.0638428,-0.6291504
1950-11-04,-0.4335327,0.20529175,-3.0517578e-05,-1.1286316,-0.64385986
1950-11-05,-0.42956543,0.19970703,-3.0517578e-05,-1.1912231,-0.6581726
1950-11-06,-0.42559814,0.1920166,-3.0517578e-05,-1.2509766,-0.6725464
1950-11-07,-0.42318726,0.18539429,-3.0517578e-05,-1.3079834,-0.6854248
1950-11-08,-0.4206543,0.17828369,-3.0517578e-05,-1.3589478,-0.69711304
1950-11-09,-0.41836548,0.17163086,-3.0517578e-05,-1.4058228,-0.7068176
1950-11-10,-0.41845703,0.16366577,-3.0517578e-05,-1.4455872,-0.71380615
1950-11-11,-0.41760254,0.15704346,-3.0517578e-05,-1.4795227,-0.71777344
1950-11-12,-0.41723633,0.14736938,-3.0517578e-05,-1.5032043,-0.71969604
1950-11-13,-0.41696167,0.13909912,-3.0517578e-05,-1.5185852,-0.7185974
1950-11-14,-0.41864014,0.1302185,-3.0517578e-05,-1.5243835,-0.71435547
1950-11-15,-0.43988037,0.12237549,-3.0517578e-05,-1.5197754,-0.70635986
1950-11-16,-0.4328003,0.11462402,-0.00018310547,-1.5053406,-0.6949463
1950-11-17,-0.43658447,0.10882568,-0.00036621094,-1.4821472,-0.68115234
1950-11-18,-0.44052124,0.10614014,-0.0010681152,-1.4616089,-0.6723938
1950-11-19,-0.44522095,0.10662842,-0.001159668,-1.4423828,-0.6670227
1950-11-20,-0.45025635,0.1111145,-0.0012512207,-1.4264526,-0.666687
1950-11-21,-0.45324707,0.11645508,-0.0013122559,-1.4098511,-0.67056274
1950-11-22,-0.4557495,0.123535156,-0.0013427734,-1.3961792,-0.67852783
1950-11-23,-0.4595337,0.13287354,-0.001373291,-1.3830872,-0.6903076
