,cluster,nodes_lat,nodes_lon
231,2,67.5,26.0
232,2,67.5,26.5
233,2,67.5,27.0
234,2,67.5,27.5
235,2,67.5,28.0
236,2,67.5,28.5
237,2,67.5,29.0
238,2,67.5,29.5
239,2,67.5,30.0
240,2,67.5,30.5
241,2,67.5,31.0
242,2,67.5,31.5
243,2,67.5,32.0
244,2,67.5,32.5
245,2,67.5,33.0
246,2,67.5,33.5
247,2,67.5,34.0
248,2,67.5,34.5
249,2,67.5,35.0
250,2,67.5,35.5
251,2,67.5,36.0
252,2,67.5,36.5
253,2,67.5,37.0
254,2,67.5,37.5
255,2,67.5,38.0
256,2,67.5,38.5
257,2,67.5,39.0
258,2,67.5,39.5
259,2,67.5,40.0
260,2,67.5,40.5
261,2,67.5,41.0
262,2,67.5,44.0
263,2,67.0,13.5
264,2,67.0,14.0
265,2,67.0,14.5
266,2,67.0,15.0
267,2,67.0,15.5
268,2,67.0,16.0
269,2,67.0,16.5
270,2,67.0,17.0
271,2,67.0,17.5
272,2,67.0,18.0
273,2,67.0,18.5
274,2,67.0,19.0
275,2,67.0,19.5
276,2,67.0,20.0
277,2,67.0,20.5
278,2,67.0,21.0
279,2,67.0,21.5
280,2,67.0,22.0
281,2,67.0,22.5
282,2,67.0,23.0
283,2,67.0,23.5
284,2,67.0,24.0
285,2,67.0,24.5
286,2,67.0,25.0
287,2,67.0,25.5
288,2,67.0,26.0
289,2,67.0,26.5
290,2,67.0,27.0
291,2,67.0,27.5
292,2,67.0,28.0
293,2,67.0,28.5
294,2,67.0,29.0
295,2,67.0,29.5
296,2,67.0,30.0
297,2,67.0,30.5
298,2,67.0,31.0
299,2,67.0,31.5
300,2,67.0,32.0
301,2,67.0,32.5
302,2,67.0,33.0
303,2,67.0,33.5
304,2,67.0,34.0
305,2,67.0,34.5
306,2,67.0,35.0
307,2,67.0,35.5
308,2,67.0,36.0
309,2,67.0,36.5
310,2,67.0,37.0
311,2,67.0,37.5
312,2,67.0,38.0
313,2,67.0,38.5
314,2,67.0,39.0
315,2,67.0,39.5
316,2,67.0,40.0
317,2,67.0,40.5
318,2,67.0,41.0
319,2,66.5,-16.0
320,2,66.5,-15.5
321,2,66.5,13.0
322,2,66.5,13.5
323,2,66.5,14.0
324,2,66.5,14.5
325,2,66.5,15.0
326,2,66.5,15.5
327,2,66.5,16.0
328,2,66.5,16.5
329,2,66.5,17.0
330,2,66.5,17.5
331,2,66.5,18.0
332,2,66.5,18.5
333,2,66.5,19.0
334,2,66.5,19.5
335,2,66.5,20.0
336,2,66.5,20.5
337,2,66.5,21.0
338,2,66.5,21.5
339,2,66.5,22.0
340,2,66.5,22.5
341,2,66.5,23.0
342,2,66.5,23.5
343,2,66.5,24.0
344,2,66.5,24.5
345,2,66.5,25.0
346,2,66.5,25.5
347,2,66.5,26.0
348,2,66.5,26.5
349,2,66.5,27.0
350,2,66.5,27.5
351,2,66.5,28.0
352,2,66.5,28.5
353,2,66.5,29.0
354,2,66.5,29.5
355,2,66.5,30.0
356,2,66.5,30.5
357,2,66.5,31.0
358,2,66.5,31.5
359,2,66.5,32.0
360,2,66.5,32.5
361,2,66.5,33.0
362,2,66.5,33.5
363,2,66.5,34.0
364,2,66.5,34.5
365,2,66.5,35.0
366,2,66.5,35.5
367,2,66.5,36.0
368,2,66.5,36.5
369,2,66.5,37.0
370,2,66.5,37.5
371,2,66.5,38.0
372,2,66.5,38.5
373,2,66.5,39.0
374,2,66.5,39.5
375,2,66.5,40.0
376,2,66.5,40.5
377,2,66.5,41.0
378,2,66.0,-16.0
379,2,66.0,-15.5
380,2,66.0,-15.0
381,2,66.0,12.5
382,2,66.0,13.0
383,2,66.0,13.5
384,2,66.0,14.0
385,2,66.0,14.5
386,2,66.0,15.0
387,2,66.0,15.5
388,2,66.0,16.0
389,2,66.0,16.5
390,2,66.0,17.0
391,2,66.0,17.5
392,2,66.0,18.0
393,2,66.0,18.5
394,2,66.0,19.0
395,2,66.0,19.5
396,2,66.0,20.0
397,2,66.0,20.5
398,2,66.0,21.0
399,2,66.0,21.5
400,2,66.0,22.0
401,2,66.0,22.5
402,2,66.0,23.0
403,2,66.0,23.5
404,2,66.0,24.0
405,2,66.0,24.5
406,2,66.0,25.0
407,2,66.0,25.5
408,2,66.0,26.0
409,2,66.0,26.5
410,2,66.0,27.0
411,2,66.0,27.5
412,2,66.0,28.0
413,2,66.0,28.5
414,2,66.0,29.0
415,2,66.0,29.5
416,2,66.0,30.0
417,2,66.0,30.5
418,2,66.0,31.0
419,2,66.0,31.5
420,2,66.0,32.0
421,2,66.0,32.5
422,2,66.0,33.0
423,2,66.0,33.5
424,2,66.0,34.0
425,2,66.0,34.5
426,2,66.0,35.0
427,2,66.0,37.5
428,2,66.0,38.0
429,2,66.0,38.5
430,2,66.0,39.0
431,2,66.0,39.5
432,2,66.0,40.5
433,2,66.0,41.0
434,2,66.0,41.5
435,2,66.0,42.0
436,2,66.0,42.5
437,2,66.0,43.0
438,2,66.0,43.5
439,2,66.0,44.0
440,2,65.5,-16.0
441,2,65.5,-15.5
442,2,65.5,-15.0
443,2,65.5,-14.5
444,2,65.5,-14.0
445,2,65.5,-13.5
446,2,65.5,12.0
447,2,65.5,12.5
448,2,65.5,13.0
449,2,65.5,13.5
450,2,65.5,14.0
451,2,65.5,14.5
452,2,65.5,15.0
453,2,65.5,15.5
454,2,65.5,16.0
455,2,65.5,16.5
456,2,65.5,17.0
457,2,65.5,17.5
458,2,65.5,18.0
459,2,65.5,18.5
460,2,65.5,19.0
461,2,65.5,19.5
462,2,65.5,20.0
463,2,65.5,20.5
464,2,65.5,21.0
465,2,65.5,21.5
466,2,65.5,22.0
467,2,65.5,25.0
468,2,65.5,25.5
469,2,65.5,26.0
470,2,65.5,26.5
471,2,65.5,27.0
472,2,65.5,27.5
473,2,65.5,28.0
474,2,65.5,28.5
475,2,65.5,29.0
476,2,65.5,29.5
477,2,65.5,30.0
478,2,65.5,30.5
479,2,65.5,31.0
480,2,65.5,31.5
481,2,65.5,32.0
482,2,65.5,32.5
483,2,65.5,33.0
484,2,65.5,33.5
485,2,65.5,34.0
486,2,65.5,34.5
487,2,65.5,39.5
488,2,65.5,40.0
489,2,65.5,40.5
490,2,65.5,41.0
491,2,65.5,41.5
492,2,65.5,42.0
493,2,65.5,42.5
494,2,65.5,43.0
495,2,65.5,43.5
496,2,65.5,44.0
497,2,65.0,-16.0
498,2,65.0,-15.5
499,2,65.0,-15.0
500,2,65.0,-14.5
501,2,65.0,-14.0
502,2,65.0,-13.5
503,2,65.0,11.5
504,2,65.0,12.0
505,2,65.0,12.5
506,2,65.0,13.0
507,2,65.0,13.5
508,2,65.0,14.0
509,2,65.0,14.5
510,2,65.0,15.0
511,2,65.0,15.5
512,2,65.0,16.0
513,2,65.0,16.5
514,2,65.0,17.0
515,2,65.0,17.5
516,2,65.0,18.0
