,cluster,nodes_lat,nodes_lon
231,5,67.5,26.0
232,5,67.5,26.5
233,5,67.5,27.0
234,5,67.5,27.5
235,5,67.5,28.0
236,5,67.5,28.5
237,5,67.5,29.0
238,5,67.5,29.5
239,5,67.5,30.0
240,5,67.5,30.5
241,5,67.5,31.0
242,5,67.5,31.5
243,5,67.5,32.0
244,5,67.5,32.5
245,5,67.5,33.0
246,5,67.5,33.5
247,5,67.5,34.0
248,5,67.5,34.5
249,5,67.5,35.0
250,5,67.5,35.5
251,5,67.5,36.0
252,5,67.5,36.5
253,5,67.5,37.0
254,5,67.5,37.5
255,5,67.5,38.0
256,5,67.5,38.5
257,5,67.5,39.0
258,5,67.5,39.5
259,5,67.5,40.0
260,5,67.5,40.5
261,5,67.5,41.0
262,5,67.5,44.0
263,5,67.0,13.5
264,5,67.0,14.0
265,5,67.0,14.5
266,5,67.0,15.0
267,5,67.0,15.5
268,5,67.0,16.0
269,5,67.0,16.5
270,5,67.0,17.0
271,5,67.0,17.5
272,5,67.0,18.0
273,5,67.0,18.5
274,5,67.0,19.0
275,5,67.0,19.5
276,5,67.0,20.0
277,5,67.0,20.5
278,5,67.0,21.0
279,5,67.0,21.5
280,5,67.0,22.0
281,5,67.0,22.5
282,5,67.0,23.0
283,5,67.0,23.5
284,5,67.0,24.0
285,5,67.0,24.5
286,5,67.0,25.0
287,5,67.0,25.5
288,5,67.0,26.0
289,5,67.0,26.5
290,5,67.0,27.0
291,5,67.0,27.5
292,5,67.0,28.0
293,5,67.0,28.5
294,5,67.0,29.0
295,5,67.0,29.5
296,5,67.0,30.0
297,5,67.0,30.5
298,5,67.0,31.0
299,5,67.0,31.5
300,5,67.0,32.0
301,5,67.0,32.5
302,5,67.0,33.0
303,5,67.0,33.5
304,5,67.0,34.0
305,5,67.0,34.5
306,5,67.0,35.0
307,5,67.0,35.5
308,5,67.0,36.0
309,5,67.0,36.5
310,5,67.0,37.0
311,5,67.0,37.5
312,5,67.0,38.0
313,5,67.0,38.5
314,5,67.0,39.0
315,5,67.0,39.5
316,5,67.0,40.0
317,5,67.0,40.5
318,5,67.0,41.0
319,3,66.5,-16.0
320,3,66.5,-15.5
321,5,66.5,13.0
322,5,66.5,13.5
323,5,66.5,14.0
324,5,66.5,14.5
325,5,66.5,15.0
326,5,66.5,15.5
327,5,66.5,16.0
328,5,66.5,16.5
329,5,66.5,17.0
330,5,66.5,17.5
331,5,66.5,18.0
332,5,66.5,18.5
333,5,66.5,19.0
334,5,66.5,19.5
335,5,66.5,20.0
336,5,66.5,20.5
337,5,66.5,21.0
338,5,66.5,21.5
339,5,66.5,22.0
340,5,66.5,22.5
341,5,66.5,23.0
342,5,66.5,23.5
343,5,66.5,24.0
344,5,66.5,24.5
345,5,66.5,25.0
346,5,66.5,25.5
347,5,66.5,26.0
348,5,66.5,26.5
349,5,66.5,27.0
350,5,66.5,27.5
351,5,66.5,28.0
352,5,66.5,28.5
353,5,66.5,29.0
354,5,66.5,29.5
355,5,66.5,30.0
356,5,66.5,30.5
357,5,66.5,31.0
358,5,66.5,31.5
359,5,66.5,32.0
360,5,66.5,32.5
361,5,66.5,33.0
362,5,66.5,33.5
363,5,66.5,34.0
364,5,66.5,34.5
365,5,66.5,35.0
