,msl,olr,sm1,t2m,tp,z500
1950-03-02,-26.1875,-2.896988,0.03553289,-4.1680603,-9.380593e-05,-830.98047
1950-03-03,77.546875,-21.969543,0.037548125,-1.3791504,-9.803944e-05,247.38672
1950-03-04,421.51562,-15.756958,0.035964042,0.4442749,-9.7461714e-05,740.77734
1950-03-05,793.1875,-23.422424,0.031502753,0.64608765,-9.659625e-05,1215.9727
1950-03-06,1415.0391,-24.832062,0.027175933,1.0709534,-9.41022e-05,2126.3906
1950-03-07,1275.1719,-30.460175,0.024272054,2.411438,-9.664161e-05,2474.8516
1950-03-08,428.26562,-35.281586,0.02734512,4.830017,-9.668589e-05,2106.0938
1950-03-09,-341.6172,-36.94026,0.025433391,5.628296,-9.8708915e-05,1253.8945
1950-03-10,-645.2031,-31.819412,0.021230131,0.7897949,-9.618363e-05,30.167969
1950-03-11,-316.14062,-25.68605,0.013672799,-0.090789795,-0.00010407297,-92.00781
1950-03-12,-844.4375,-28.245758,0.012688011,-0.28286743,-0.00010534565,-288.1289
1950-03-13,-598.9297,-23.815704,0.0093688965,-0.5871887,-0.00010831089,-538.35156
1950-03-14,77.921875,-25.25064,0.009291053,-0.9076538,-0.00011416669,119.0
1950-03-15,539.9375,-7.965042,0.0070792437,0.065216064,-0.0001200964,708.6953
1950-03-16,666.4453,23.585907,0.005889356,0.5310364,-0.000114059396,847.64844
1950-03-17,823.03906,5.3683014,0.006067872,1.4592285,-0.0001242419,1213.4453
1950-03-18,878.0078,-11.086807,0.004189521,2.0781555,-0.00011296094,1242.6445
1950-03-19,381.6875,6.8013916,0.014260024,1.5223083,-2.4627581e-05,546.0547
1950-03-20,233.52344,-12.531113,0.01528427,0.4468994,-0.00011054238,421.41406
1950-03-21,-137.82812,42.42363,0.03612122,-0.15359497,0.00020392412,-165.5625
1950-03-22,285.14844,-7.983246,0.04285112,1.434082,-9.256968e-05,243.77734
1950-03-23,902.60156,-23.445557,0.02455017,1.7849426,-0.00015114289,1064.0547
1950-03-24,818.2031,-11.385361,0.016549796,2.3256226,-0.0001545661,1183.9023
1950-03-25,189.58594,-32.77098,0.009272546,2.490448,-0.00016042992,659.4922
1950-03-26,222.32812,-12.260437,0.0032846332,-0.95025635,-6.155346e-05,-115.00391
1950-03-27,664.0781,-4.605377,0.033891886,-1.144928,2.4959809e-05,-10.53125
1950-03-28,513.84375,-21.647888,0.016197115,-0.5951538,-0.00017600578,291.73047
1950-03-29,-261.70312,-15.143768,0.008199692,-0.49365234,-0.00017506508,-235.0625
1950-03-30,-896.8828,14.130463,0.011765778,-1.0209045,-0.00016492046,-726.9922
1950-03-31,-374.6953,-11.348801,0.0058660507,0.34326172,-0.00018235561,-184.6211
1950-04-01,-223.28125,-26.313538,-0.00019207597,0.40621948,-0.00018652104,-90.390625
1950-04-02,-1153.8516,8.119446,0.016487718,-0.8729553,0.00033610486,-854.84375
1950-04-03,-2024.4766,41.971558,0.06947836,-2.9210815,0.00053554133,-2037.125
1950-04-04,-1209.8438,-25.526337,0.041403234,-1.8667297,-0.00020300392,-1300.0469
1950-04-05,-369.4375,-19.237564,0.028963268,-1.063385,-0.00020800147,-603.58203
1950-04-06,118.375,-23.73619,0.020462692,-0.42181396,-0.00020931575,46.476562
1950-04-07,686.53125,-26.369537,0.013082653,0.19412231,-0.00021276885,848.0117
1950-04-08,752.2422,-29.38861,0.008304596,1.5667725,-0.00021060352,1399.1406
1950-04-09,100.5625,-30.088379,0.0043728054,2.046692,-0.00019735006,1110.7852
1950-04-10,-594.52344,-26.749985,0.001722455,0.4250183,-0.0001974721,280.8672
1950-04-11,-853.16406,-20.533096,-0.004300326,-0.8954773,-0.00020720219,-337.03125
1950-04-12,-764.91406,10.82045,0.014472216,-2.1816711,0.0005847343,-461.38672
1950-04-13,-993.8906,4.0274963,0.07428256,-1.4977112,0.0006183699,-734.6992
1950-04-14,-1019.10156,17.636673,0.07390314,-3.0188599,0.0013090976,-947.83984
1950-04-15,-997.6953,17.198486,0.07460934,-3.4256897,0.00064714113,-1306.3359
1950-04-16,-549.35156,45.477127,0.06616077,-3.0212402,0.00030174223,-1177.6875
1950-04-17,-176.4375,-15.339066,0.041134715,-2.4673462,-0.00014250728,-875.8008
1950-04-18,-420.6328,46.515396,0.06420097,-5.7749634,0.0013304229,-1155.1992
1950-04-19,-664.1875,47.376328,0.069985,-5.6212463,0.00090378197,-1077.6367
1950-04-20,-414.35156,28.007355,0.07077262,-3.6112366,0.0004941444,-467.5664
1950-04-21,-341.03125,52.91896,0.0658412,-2.5688782,0.00022138996,-57.14453
1950-04-22,-177.42188,-3.283081,0.06682256,-1.6976624,-7.2375566e-05,-336.40625
1950-04-23,-883.8047,27.208939,0.052415192,-3.3664246,-0.000111318885,-815.89844
1950-04-24,-1266.9297,15.592072,0.0575324,-3.3156738,0.0004688637,-1513.3203
1950-04-25,-1224.5703,-5.8855896,0.04978493,-7.0484314,-0.00020620403,-2339.1328
1950-04-26,-164.50781,-6.509018,0.035145074,-7.09964,-5.9068625e-05,-1423.8711
1950-04-27,61.34375,-19.084366,0.03397879,-5.4648438,-0.00023387256,-1097.207
1950-04-28,456.9453,-27.575668,0.020443797,-3.4114685,-0.00023584758,-400.625
1950-04-29,782.8203,-22.340149,0.011394173,-1.963562,-0.00023880813,638.1992
1950-04-30,1038.3828,-30.806168,0.00072291493,0.115722656,-0.00023871289,1046.6641
1950-05-01,1008.53125,-33.367676,-0.008659691,1.1460876,-0.00022597802,1139.1211
1950-05-02,586.25,-34.252487,-0.014666021,1.7921143,-0.00021750615,927.4219
1950-05-03,71.24219,-6.713684,0.0071813166,0.34744263,0.00013452269,228.0625
1950-05-04,-138.8125,11.377853,0.016137749,-1.5523376,-1.615836e-05,-356.33203
1950-05-05,-7.0859375,-29.480698,-0.0012596846,-0.93322754,-0.00022737436,-263.03125
1950-05-06,134.14844,-24.539932,-0.01109463,-1.0932312,-0.00022529063,-8.5546875
1950-05-07,-1.3359375,-2.9412231,-0.0058976114,-1.975647,-9.376883e-05,-241.1836
1950-05-08,-27.960938,-18.497421,0.0015503466,-1.1010437,-0.00019027299,-125.828125
1950-05-09,17.804688,-9.152512,-0.013424933,0.74490356,-0.00025009486,297.8203
1950-05-10,79.72656,7.826828,-0.011938214,-0.533844,-0.000111857415,260.0664
1950-05-11,265.8828,7.524658,0.019165158,-1.1807556,0.00021662633,178.20312
1950-05-12,381.25,-25.44458,0.025647491,0.7480774,-0.00020924404,444.4414
1950-05-13,80.609375,-31.169724,0.0037581623,1.3292236,-0.00023541761,379.6914
1950-05-14,-44.1875,-10.6306305,0.005466938,-1.0942383,-5.5763798e-05,-125.28125
1950-05-15,-205.03906,-24.100204,0.0017166734,-0.4739685,-7.378931e-05,-168.64844
