,olrWorld_cluster1,olrWorld_cluster2,olrWorld_cluster3,olrWorld_cluster4,olrWorld_cluster5
1950-01-01,21.218019795974644,-25.639111784306753,-2.1297356601010224,-6.342239472817254,-30.796975250350723
1950-01-02,20.191655986051124,-25.776477479998768,-1.3513546134167878,-14.693447878755038,-30.941394249709326
1950-01-03,12.346863791544662,-18.18751047144217,-1.5040763000987338,-13.782262702830723,-23.13480478266641
1950-01-04,2.4317189878545364,-16.515052729822973,-1.1142297960007566,-19.41914370744533,-17.9503499876159
1950-01-05,2.695897477676787,-23.732360105369068,-0.4120270865680817,-23.131822299158635,-19.526017849228918
1950-01-06,9.3365846615125,-39.12008561046679,-0.15728449164913919,-24.20395126653333,-18.610019467885376
1950-01-07,11.582302321768283,-43.62510749721246,-0.06072816246416491,-25.363295489045953,-22.022580299532947
1950-01-08,8.977783537471602,-45.19514974654653,-0.3003696529220748,-28.176729189122245,-20.650839510231364
1950-01-09,13.036443933072983,-45.86123595352253,-0.6199575289320722,-29.655942740425452,-21.068439804233417
1950-01-10,15.25501120778248,-46.244033447759996,-0.6316819999286215,-27.200804314928106,-25.404119138015545
1950-01-11,14.906000942693463,-43.01140140403378,-1.0072570074569687,-22.790614355913405,-27.380446827185416
1950-01-12,15.491512222380361,-34.59645349086975,-1.2086120082993383,-14.162118149204849,-25.283796138782453
1950-01-13,19.480856962252638,-34.064937845609975,-1.180670577216282,-9.48892173381725,-23.594677883324998
1950-01-14,23.688022177879787,-39.64484941052821,-1.0384915451227683,-7.850536648071884,-28.651043606160364
1950-01-15,28.42843112931591,-41.038630956285964,-0.9717443914496312,-4.458512219918593,-36.6685741732746
1950-01-16,30.819121042639775,-36.880760190390646,-1.2578152648650296,10.528366734387205,-42.6993579030866
1950-01-17,26.747265150110422,-22.819620382563215,-1.0202541334328263,5.936400383954705,-40.62944172282729
1950-01-18,20.04255376709207,-13.128825646921287,-0.7181278982195486,4.689309600055512,-34.5901663960023
1950-01-19,12.712945023844954,-12.307556284905814,-0.20032163752861856,12.010720262635953,-30.453161736529452
1950-01-20,7.152055255791336,-11.840752291562186,-0.2250201409024634,21.74552124058298,-29.758146700048744
1950-01-21,1.1933710115366951,-22.391499760453144,-0.28184156870885996,10.679959710005031,-27.05781995942095
1950-01-22,-5.469154640316435,-27.117189737770655,0.11610029086483109,2.6559345549423217,-21.78469875601268
1950-01-23,-0.9158163133107903,-30.30145621901208,-0.31145047559062006,0.532345370313149,-23.241243018136277
1950-01-24,-0.06832574696356257,-28.606376629800575,-0.4367577409975142,-0.12211502976868843,-23.935258222796804
1950-01-25,1.7826477505496139,-41.676034529792474,-0.523209338598276,0.4321565421502476,-21.760692450644083
1950-01-26,4.720903721048099,-53.966717174539355,-0.07505302563168441,-3.7930157742351405,-25.600885847815942
1950-01-27,4.492881602024158,-59.3219684123245,0.046562019090533355,-8.566498582016552,-21.29207063124554
1950-01-28,5.726714985925297,-54.85840901461709,0.7423142414980487,-10.59802826762156,-27.764920904026507
1950-01-29,9.748615121597982,-32.221101398628484,-0.10559556936509251,-19.48298766393674,-29.629803065403948
1950-01-30,4.811324546876783,-17.805267943598494,0.07294831251851452,-16.254649033271438,-26.480602582370487
1950-01-31,5.3009161561383875,-15.198752189437721,0.2728867072810654,-15.896341775806322,-23.399667967962653
1950-02-01,7.7036695930294625,0.0011460034718444633,0.316538205888507,-12.378643203600342,-25.22846796428617
1950-02-02,8.170905158535138,6.4127967249013125,0.2779165783497453,-11.62340240577265,-28.580435100162454
1950-02-03,12.726943794750976,-10.594690822461965,-0.470085609177191,-15.150421137606227,-29.026619108337382
1950-02-04,14.621239804646159,-7.425480992154921,-0.1309298437166344,-17.191189610781286,-24.372238502544043
1950-02-05,12.700130048232717,-9.322425847496891,0.14886286295885248,-14.347971824464219,-23.175555757956
1950-02-06,15.555710729415612,-21.011020245458838,0.16943651472273266,-14.87320852976358,-28.385233949112916
1950-02-07,18.430224652502265,-32.612097926516654,0.0075668643491446875,-16.814225034335312,-30.220805181646927
1950-02-08,12.096053384870787,-24.875270654211484,0.39182462037517163,-11.904184923173737,-32.60610817624999
1950-02-09,6.1573750747458345,-7.696589505309243,0.22979689339627168,-5.112044407164298,-29.176882061982035
1950-02-10,2.4518411298707066,6.043498666199391,-0.11749296821380636,-8.590004642824415,-23.689448650680628
1950-02-11,9.10901715587173,14.27545018467915,-0.11952537529227368,-13.844368297146012,-18.906787908895723
1950-02-12,11.037482881621573,9.626314634345208,-0.49739140483784094,-19.32671645429907,-22.14909372239717
1950-02-13,14.112280569121527,13.385823811180238,-0.5250929206173257,-12.54228707719388,-21.25595600685268
1950-02-14,12.499891477691314,8.562679497680232,-0.5242607191587308,-10.755084622148457,-16.271505358700743
1950-02-15,10.298121195251484,15.789679093719098,-0.6794569184968614,-15.841198847696164,-16.10783250183784
1950-02-16,11.229536461025278,31.354527813808215,-0.8662519883016637,-12.916006525712707,-15.676381435038882
1950-02-17,9.391392885664555,33.3495207169193,-0.8186568476235658,-7.469669336357965,-18.54092494367509
1950-02-18,7.990707698090321,22.292045985153916,0.07277052198517846,-6.060474232446579,-23.74206858569975
1950-02-19,9.336083131243694,-2.1469108652491027,1.0764407504321887,-5.058949484450642,-31.035549008861572
1950-02-20,5.514165872583834,-13.614728438620876,1.458958964395028,-4.956251133802241,-23.73073529212437
1950-02-21,6.9346844513583,-23.960611126383547,1.2162914379319003,2.833010720718391,-22.634482123685856
1950-02-22,4.223984474261794,-31.23778152583944,1.1123737194512084,11.667312636140437,-22.964975134501216
