,sstNorth_Atlantic_cluster1,sstNorth_Atlantic_cluster2,sstNorth_Atlantic_cluster3,sstNorth_Atlantic_cluster4,sstNorth_Atlantic_cluster5
1950-01-01,0.11980467941045526,-0.3169828908065349,0.20293840143870234,-0.24368296970107955,0.257838238760784
1950-01-02,0.1289315902303607,-0.28311450642820984,0.1987824798871734,-0.25379914257674313,0.26759272898657427
1950-01-03,0.15997884625136738,-0.24587073007908694,0.20041221930732658,-0.2562467239921774,0.2849169658073056
1950-01-04,0.17176422895212867,-0.21517776801346203,0.1962985463181831,-0.26404468535341635,0.2938470432951807
1950-01-05,0.1830824529258018,-0.1966896953049694,0.19178974942723756,-0.2711926052054082,0.301818787030022
1950-01-06,0.19502562193511094,-0.18906735381129205,0.18680014231220254,-0.2772241185077537,0.311389380801735
1950-01-07,0.206417992169377,-0.1914815378831974,0.18150509956526747,-0.28301497111819773,0.321922878587013
1950-01-08,0.21762460724143626,-0.20320250427666864,0.1765695112889008,-0.2879714197771613,0.33331143268606545
1950-01-09,0.22751977087801947,-0.21975220114934824,0.1724228658302828,-0.29173321141339464,0.3443140859860206
1950-01-10,0.23721585611032844,-0.23054745162584836,0.16866744709928,-0.2948119764858047,0.3547449521761762
1950-01-11,0.24640274913966648,-0.23699201654009053,0.16494016982876392,-0.2967875647359817,0.36486683165762396
1950-01-12,0.2554402388830179,-0.24049530863579294,0.16167004459406373,-0.29755506947250077,0.3740226573129232
1950-01-13,0.2633963379241515,-0.23995481651811787,0.15899384667986274,-0.2963754777787031,0.38144471379080763
1950-01-14,0.2712676033894434,-0.2398667727218721,0.15741250801312695,-0.2932233081050314,0.38693257779332085
1950-01-15,0.27776547453600836,-0.24644199951342835,0.1556006399244456,-0.288651899604294,0.3900888124938801
1950-01-16,0.2818633599644369,-0.2605433297184035,0.15364171650134464,-0.2886006034849385,0.3992301980529735
1950-01-17,0.28523639799687317,-0.24128180879422664,0.15487202485697085,-0.28360644388458295,0.39393571519975445
1950-01-18,0.2852516317942268,-0.24558720573749868,0.15865950836882636,-0.2801700996568178,0.3663520155699644
1950-01-19,0.28408403084117156,-0.24051434674484246,0.1593135091275999,-0.27807141973732913,0.34713151987735263
1950-01-20,0.28106284814022,-0.23698843569870157,0.1599222682901513,-0.27828834858174045,0.32140772118039856
1950-01-21,0.2762540633760151,-0.23379063364874078,0.16078490025871672,-0.2799099409163799,0.2907249633312243
1950-01-22,0.2695812364499466,-0.23179548516794746,0.16183482194576987,-0.2828080026718603,0.2553111029210763
1950-01-23,0.26119084907820045,-0.23071289688353017,0.16317975518301475,-0.2867365609545232,0.21590130296814833
1950-01-24,0.2514486925028639,-0.22982383058727338,0.1645766316434556,-0.29179050342576374,0.1721740432861993
1950-01-25,0.24086336792663837,-0.22937250997007394,0.1661918748279979,-0.29836009904143124,0.12548783929443752
1950-01-26,0.22855782877561626,-0.22892384111753006,0.16776449961648138,-0.3057419190144156,0.07524428620184617
1950-01-27,0.21594966843008984,-0.22921854845350173,0.1695624703083253,-0.31509140385532175,0.021880490126102166
1950-01-28,0.2028184439008952,-0.22797591306580803,0.17162386608387145,-0.32433424244016484,-0.03279196044189231
1950-01-29,0.1893014825021736,-0.22819604767363083,0.17434020370833733,-0.333963925947678,-0.08904303029825704
1950-01-30,0.175759791037922,-0.2293677274568347,0.1773517553112866,-0.3435941350651269,-0.14576629096896626
1950-01-31,0.16178980833694948,-0.23215842992704577,0.17991040070634565,-0.35270192800599404,-0.2017819772149917
1950-02-01,0.14671263564647552,-0.2609097911659841,0.17783414950510854,-0.36148422332159413,-0.2591375378393306
1950-02-02,0.1333026269295169,-0.2614655585547708,0.181742245802623,-0.3700945684043142,-0.31314841249685615
1950-02-03,0.12038756108151093,-0.26326861248283556,0.18565438812254653,-0.3781715190562448,-0.36377991601549153
1950-02-04,0.10853178645782606,-0.2724862735897221,0.18958932920572896,-0.3853171088201807,-0.4111786985675799
1950-02-05,0.09735648024870674,-0.2908107700940752,0.19337539221934763,-0.3932804013241689,-0.4560445764902655
1950-02-06,0.08763766242575541,-0.3223862101853608,0.19678655780227214,-0.39973844680807025,-0.49777646422231414
1950-02-07,0.07967201404507264,-0.3628974953908543,0.19971782971141266,-0.4055233417998565,-0.5353748121355508
1950-02-08,0.07377439183268607,-0.3992599683605155,0.20241335660040172,-0.40990417251609906,-0.5677716870463266
1950-02-09,0.07014240984417565,-0.4285011480352692,0.20501408754488035,-0.41329054294100437,-0.5940762500829386
1950-02-10,0.06849174036456253,-0.4483581483400119,0.2078830944942809,-0.4148649997527075,-0.6141137394037998
1950-02-11,0.06939797092616247,-0.4615340512446293,0.21074089672138235,-0.41488749247213563,-0.626947693261388
1950-02-12,0.07309960389415208,-0.4708044277482341,0.2136710302555683,-0.4139098390739058,-0.6319980635822517
1950-02-13,0.0789324931543597,-0.47474960861479576,0.2170046142575151,-0.41096230512280163,-0.6286297733772751
1950-02-14,0.08802786661355691,-0.46336061289204844,0.22144294177900603,-0.40579089766789955,-0.6164919559417054
1950-02-15,0.0999293728431505,-0.44936259921155164,0.22702870655083657,-0.39968624913517825,-0.5951416437578282
1950-02-16,0.10522463336842873,-0.4356013694771224,0.23062549948469255,-0.3951181060004236,-0.5742853227270731
1950-02-17,0.11339893626866004,-0.4198930971124069,0.2315936207756757,-0.39164509786981533,-0.5609140433848778
1950-02-18,0.11863285979320547,-0.40417613954898846,0.2306759723766613,-0.3895842457257731,-0.5505242467013625
1950-02-19,0.12142058264307544,-0.39002648948927043,0.22807907906470506,-0.38962084769466887,-0.5433550218818389
