,sm1Europe_cluster1,sm1Europe_cluster2,sm1Europe_cluster3,sm1Europe_cluster4,sm1Europe_cluster5
1950-01-01,-0.010348739439942535,0.02292373296997864,0.14065408574663837,-0.027213788589465333,-0.01777735076204698
1950-01-02,-0.014313332859361094,0.024601871543955052,0.1251762539307631,-0.02867676377775331,-0.022785336966329568
1950-01-03,-0.004604757791775244,0.022400597585454055,0.10143588726635107,-0.029809481540640174,-0.02656889027425205
1950-01-04,-0.0013705911194184966,0.020793893935758045,0.07900362010894733,-0.030800734624930107,-0.02066794009503309
1950-01-05,-0.005310160178181939,0.018357296994293372,0.0617918199883343,-0.031731070504769386,-0.020605569965894358
1950-01-06,-0.003324694940107301,0.015729462582778183,0.0479279099370964,-0.032584958800327406,-0.024827810630948726
1950-01-07,-0.006051627594880227,0.01590934017101901,0.03634380068704516,-0.03337083685227831,-0.02292511716617078
1950-01-08,-0.009615572722088192,0.012951851472112206,0.029076318844352928,-0.034052434881003034,-0.02378432058933211
1950-01-09,-0.010529919277017581,0.016085033246516257,0.06950864163124083,-0.03412748006214724,-0.023858011724254877
1950-01-10,-0.01369426921802258,0.018911367461539857,0.08714967772815321,-0.03475434877893683,-0.023613384217810323
1950-01-11,-0.016955547405274413,0.018152327874879606,0.0832031928880845,-0.03565925951226231,-0.02732230064804781
1950-01-12,-0.018478635401881358,0.020189442078569788,0.06298371266460269,-0.036321105821118534,-0.02997400120649728
1950-01-13,-0.021884972255781704,0.02132710142866685,0.04462459883560612,-0.036934085332152505,-0.032800624616726434
1950-01-14,-0.02182384145558679,0.022605403157429326,0.03193544549704089,-0.03645461864202248,-0.03478813431972431
1950-01-15,-0.01579267358436417,0.020280595731371618,0.02072665951836478,-0.03336974362873822,-0.03448407646034086
1950-01-16,0.0009695369563058173,0.017744838664099035,0.012192434215027958,-0.0285732255493187,-0.031352959467997564
1950-01-17,0.01377508449229994,0.014880801805634662,0.016903353348419577,-0.027143071268605927,-0.01937131288367017
1950-01-18,0.0004869121280399173,0.011905113211661994,0.018161108234034475,-0.030880211181043803,-0.009485194622661439
1950-01-19,-0.01116955481839144,0.008681675581400228,0.004908285301708826,-0.032789061922487116,-0.007983627118486937
1950-01-20,-0.01839295148119108,0.006152194959852221,-0.007194265894108806,-0.03426941243637685,-0.008779047333636334
1950-01-21,-0.022450944550611477,0.00562566086024376,0.006750164178760374,-0.03546102600967411,-0.013277133879027554
1950-01-22,-0.02551713717974469,0.006334579191707694,0.06023525049549774,-0.036535182503181635,-0.01846707307247513
1950-01-23,-0.02897197490788908,0.004104474252914386,0.06915598700517507,-0.03741390444713187,-0.0225439042282069
1950-01-24,-0.03127670505674695,0.002300615876704747,0.06626984938313206,-0.03836233533134611,-0.024440723868232293
1950-01-25,-0.033292847961286245,-0.001931212412557431,0.06109219706155217,-0.03936134369495287,-0.025645840061987266
1950-01-26,-0.03354530122569086,-0.0038980558362291876,0.068570507496875,-0.04009928590808519,-0.02767246541863775
1950-01-27,-0.029350560858833724,-0.005012384427878372,0.061374228924205694,-0.04051251201237269,-0.027852810713004328
1950-01-28,-0.02841168037769499,-0.006854412064702078,0.053655671596446394,-0.041183606636073726,-0.027707689127499418
1950-01-29,-0.02803495374924144,-0.008611068866883915,0.05131398900208909,-0.04159181491590402,-0.027428331165040083
1950-01-30,-0.026003207593728046,-0.010293805638031726,0.03926090205120867,-0.0419702538732598,-0.024817695873205422
1950-01-31,-0.018394716220455312,-0.010648278381686284,0.0503140695868111,-0.04240757440997147,-0.023507555800263952
1950-02-01,-0.002366859307103634,-0.008073794321927267,0.05729253898586379,-0.04307943248665989,-0.02678037271823246
1950-02-02,-0.003840754263810063,-0.007420876610530171,0.046459952902402825,-0.04345159601218429,-0.029586811349199205
1950-02-03,-0.002345378587705205,-0.007716293715834169,0.050297794745324094,-0.04397624898664822,-0.03185043851954823
1950-02-04,0.016617784312947328,-0.0043486809131527875,0.0904723548228101,-0.04435957662795565,-0.03408679164399226
1950-02-05,0.02624123404479635,-0.0035347538935028614,0.08757386510806497,-0.04497322058067969,-0.03501553536698786
1950-02-06,0.042656473746500265,-0.003077301708361233,0.08199072062218443,-0.045628304501681,-0.03214194666374624
1950-02-07,0.03439985380312117,-0.004099262092475044,0.0651561731539276,-0.04544882811702881,-0.024521694951547008
1950-02-08,0.04338711978360016,-0.004949551711396387,0.05254592415930445,-0.03956860610574966,-0.013752118116716658
1950-02-09,0.042691868588971636,-0.0057576874022557895,0.035334838938851705,-0.03830929120698018,-0.004475999062868881
1950-02-10,0.04382382055718965,-0.005761912310494624,0.016542684800492525,-0.03798085886338842,-0.0022459142015283937
1950-02-11,0.052369211129542896,-0.00621632538156588,0.0029690201712916225,-0.03499667913275482,0.0028858232180206706
1950-02-12,0.046961840635983285,-0.00763398485457825,-0.01135724613838254,-0.024421880871121394,0.010204829057450777
1950-02-13,0.044982523941931044,-0.009081468845594123,-0.003985436192353735,-0.0031789561459370586,0.013906460695834748
1950-02-14,0.04974343625770148,-0.010107629892707028,0.003704198022116453,0.006272736952558181,0.013825716679409319
1950-02-15,0.0367387159680879,-0.010957616596990414,-0.013515663833814587,0.008679447373940923,0.012523944768445178
1950-02-16,0.031141516589681464,-0.011202096123370494,-0.03028459988279862,0.005277953252160792,0.007873151884070935
1950-02-17,0.02393816997174482,-0.009129557932722751,-0.0460039672640479,0.0036787066119772977,0.005345590702337626
1950-02-18,0.014215754084342131,-0.009488469908051925,-0.060581977257792824,0.012392656742734648,0.001973042414924041
