,olrWorld_cluster1,olrWorld_cluster2,olrWorld_cluster3,olrWorld_cluster4,olrWorld_cluster5
1950-03-17,27.418259,-84.71431,8.1406555,33.313644,-18.443268
1950-03-18,13.836441,-64.10602,6.908798,84.65213,-19.852356
1950-03-19,20.50711,-56.682068,7.1325684,77.70471,-21.122925
1950-03-20,8.444046,-15.290756,4.863617,49.63893,-20.671173
1950-03-21,0.7566681,-21.324417,4.19693,15.113861,-19.072632
1950-03-22,-0.55718994,-13.65152,-5.3981934,-17.210602,-17.63324
1950-03-23,5.989517,-8.624619,5.157364,-15.417114,-18.46231
1950-03-24,-8.213089,-17.434448,6.83049,48.315567,-21.212006
1950-03-25,20.14531,22.958618,5.9078674,25.440323,-19.056946
1950-03-26,36.019012,-13.049316,7.746643,26.189728,-18.232086
1950-03-27,-0.18466187,12.709152,9.988098,-18.570282,-21.535736
1950-03-28,-20.270798,43.00624,11.605408,-7.518738,-18.945465
1950-03-29,-14.3871155,49.855286,11.322372,-7.3247986,-21.197083
1950-03-30,9.1957855,50.58632,9.192078,-10.427521,-22.480469
1950-03-31,9.154907,39.188446,10.530319,-25.746094,-20.73291
1950-04-01,3.4902802,-15.863159,13.369873,-26.187927,-20.260101
1950-04-02,6.3343506,-10.945984,11.43605,-19.278107,-24.6669
1950-04-03,10.972763,5.0520477,6.332199,26.071182,-24.91394
1950-04-04,-11.706589,21.202072,14.34111,14.978439,-26.524384
1950-04-05,44.261963,46.920227,14.106941,44.5943,-22.293732
1950-04-06,7.5081787,44.134262,17.7071,39.685165,-20.296051
1950-04-07,35.55455,32.421143,14.846001,36.607758,-21.531555
1950-04-08,33.165115,-16.185852,7.2802887,43.98271,-25.58191
1950-04-09,21.294266,-11.038956,8.321182,22.125961,-19.55484
1950-04-10,0.09420776,16.9124,6.137375,8.126801,-5.466675
1950-04-11,34.42833,-32.059555,4.7986298,57.358673,-1.7618408
1950-04-12,0.074279785,-41.306946,0.24130249,-26.930359,4.37265
1950-04-13,-9.83313,-9.269531,-5.149872,-40.970703,-9.21051
1950-04-14,38.70813,1.2205505,-5.9308167,-38.15854,-13.087982
1950-04-15,52.284874,22.36905,0.80996704,-18.440796,-8.580139
1950-04-16,21.121796,10.85112,1.6021423,34.768265,-10.982819
1950-04-17,23.774612,-28.04596,0.042129517,-13.3989105,-6.1969604
1950-04-18,25.256271,-35.680878,0.47628784,-12.124496,-8.2883
1950-04-19,-8.232422,-1.7122345,0.274292,72.027695,-10.010529
1950-04-20,0.6320648,16.48642,0.0037078857,30.559143,-12.538025
1950-04-21,-10.625153,-6.12352,1.4819336,25.61081,-9.199585
1950-04-22,-8.335999,35.897034,-2.2473297,21.401306,-13.514038
1950-04-23,12.382248,20.167358,-0.7689667,34.101288,-16.595123
