,sstWorld_cluster1,sstWorld_cluster2,sstWorld_cluster3,sstWorld_cluster4,sstWorld_cluster5
1950-01-01,-0.19305251723556735,0.12974807743205943,-0.15888497960791823,-1.1215556084615932,-0.5266343374732003
1950-01-02,-0.18530217158507103,0.13374832272275622,-0.161763737706436,-1.122294125096355,-0.535739583219552
1950-01-03,-0.1816291044946119,0.1432449323672412,-0.16508840724356297,-1.119882355124394,-0.5421538362854816
1950-01-04,-0.1761577750079127,0.1475285236194158,-0.16760092362969692,-1.1201434727009063,-0.5506774049187311
1950-01-05,-0.17230202969275427,0.15150133572991206,-0.17016845023313468,-1.1200000812414928,-0.5586140403012869
1950-01-06,-0.16919405485052996,0.15532478881678996,-0.17263056482072175,-1.1195687602695463,-0.565749795108082
1950-01-07,-0.16646697012089434,0.1590525236331933,-0.17523635912482524,-1.11910139332702,-0.5724978834544072
1950-01-08,-0.16436306854947633,0.16257893255579547,-0.17749571182919335,-1.1185498250519132,-0.5784153304571774
1950-01-09,-0.16303380973761716,0.16555089952920163,-0.17992511350759324,-1.118130500887253,-0.5839891901482495
1950-01-10,-0.1622017175106223,0.1679473385842026,-0.18212198373988667,-1.1175602356989998,-0.5882438572557845
1950-01-11,-0.162236459824268,0.1698576536908354,-0.18433770547925157,-1.1170557749203565,-0.5918535582685889
1950-01-12,-0.1631626324744625,0.17094052912114172,-0.1865016928920823,-1.1167108490158937,-0.5945680708398778
1950-01-13,-0.1648487805282636,0.17089229048872992,-0.18863765718216666,-1.1164073156946475,-0.5962100521312831
1950-01-14,-0.16753262443247433,0.1700926794580081,-0.19084864435179524,-1.116633928622094,-0.5968824751924761
1950-01-15,-0.17048240500991088,0.1681815805036852,-0.1926142756170729,-1.1171685589450286,-0.596690200589393
1950-01-16,-0.1576523663813663,0.16804793816041907,-0.19187033548753232,-1.1405329733508314,-0.5974888521687647
1950-01-17,-0.156710858975674,0.16656214471531317,-0.19482996052795287,-1.1388717062708518,-0.5948544361876449
1950-01-18,-0.15225650432579615,0.1669627842284166,-0.19552092594667636,-1.136327554779331,-0.5916399697515288
1950-01-19,-0.15453555876277844,0.166880101736191,-0.19659920355819746,-1.134029886613233,-0.5896977997058499
1950-01-20,-0.15651794277457096,0.1676316694198368,-0.1975266422954442,-1.1314570550575653,-0.5876503185757175
1950-01-21,-0.1582173934140825,0.1692604827167801,-0.1980465863018471,-1.128435514149233,-0.5855552068533131
1950-01-22,-0.15956535289657553,0.17164759944565386,-0.19844229655342804,-1.1249780122028397,-0.5832704142450718
1950-01-23,-0.1609889857434328,0.174489150093858,-0.19905858310681865,-1.1211642971897515,-0.5807717410687825
1950-01-24,-0.16184241966485657,0.17781693208566682,-0.19929235229646963,-1.1174153825788837,-0.5783240417582727
1950-01-25,-0.16268822554786158,0.1816224754772047,-0.19972614098913088,-1.1131861947253072,-0.576087321667123
1950-01-26,-0.16310306512038877,0.18554525103169164,-0.2000410428419951,-1.1086646430715654,-0.5737607311098785
1950-01-27,-0.1639327450846861,0.18961125813281865,-0.20050133180582552,-1.1037105428823253,-0.572212940352811
1950-01-28,-0.1639783530942524,0.19380791334092612,-0.20033925733789784,-1.0981654002532577,-0.5702493330073247
1950-01-29,-0.16429568866845015,0.19804550523475595,-0.20053268470886695,-1.0926531252140494,-0.5688024510686198
1950-01-30,-0.16461428881733092,0.2025949979582435,-0.20095570026811213,-1.0871432695350982,-0.5672423999371679
1950-01-31,-0.16461690621177277,0.2071843013606021,-0.2024841978712279,-1.0814998146064132,-0.5655015696398521
1950-02-01,-0.16617365346153304,0.21183450091019,-0.21465256674758254,-1.0764000578723425,-0.5640092614839868
1950-02-02,-0.1662514542077279,0.21637546735885518,-0.21483847573944384,-1.071486416640626,-0.5622475900560142
1950-02-03,-0.16645908423526148,0.2207589344773591,-0.21513395185244008,-1.067591873136976,-0.5610050794682537
1950-02-04,-0.1670503296571387,0.22511516823980732,-0.2151092177315176,-1.0646162571601656,-0.5596012653885853
1950-02-05,-0.16864869756951417,0.22894504050300737,-0.21530643330653232,-1.0624075913209792,-0.5592160911024368
1950-02-06,-0.17077354922622506,0.23249905740856636,-0.21501610377780825,-1.060686325221684,-0.5585796905869692
1950-02-07,-0.17358691092995457,0.23559531226457417,-0.21489026879370612,-1.0598623373167377,-0.5582077133601637
1950-02-08,-0.17596147899032236,0.23829298187727221,-0.2148273523290935,-1.0603700436463812,-0.558431274401686
1950-02-09,-0.17821163320558256,0.24038782698325886,-0.21470805186634262,-1.0617930798528534,-0.5589840714084968
1950-02-10,-0.17986269993763873,0.24202933893477477,-0.21446605887733838,-1.0640938446530925,-0.5596191805843779
1950-02-11,-0.18152024789174329,0.2432890763534012,-0.21468431056153886,-1.0672714304708715,-0.56049758861045
1950-02-12,-0.18266024571793943,0.24425048830444396,-0.214267093362656,-1.0715221294616832,-0.5619186013878197
1950-02-13,-0.18330315785431087,0.2448671902911236,-0.21254468374139818,-1.0769569749327108,-0.5635275792620468
1950-02-14,-0.18089045528619266,0.24526522537017803,-0.20137839889827092,-1.0831604040595024,-0.5652291595390616
1950-02-15,-0.17782824274819464,0.24558191916569277,-0.20110860682366763,-1.0898099704431181,-0.5664968600737208
1950-02-16,-0.1616377411757706,0.2452243385961249,-0.2000473268629291,-1.0947730546444834,-0.5663882805792021
1950-02-17,-0.16073645150472657,0.24515815201282953,-0.19990227832609841,-1.0978461182438002,-0.5676107487369062
1950-02-18,-0.15994650203840852,0.24478257760578914,-0.20036199296586038,-1.09921475754558,-0.5686927925675996
1950-02-19,-0.1596778808559158,0.24400944305220906,-0.20123808230260615,-1.0986601089250072,-0.5702205075948765
1950-02-20,-0.15966973438632523,0.2427100560459625,-0.2021819827942223,-1.0967117221719072,-0.5709472744146737
1950-02-21,-0.16012587422938152,0.2410111511563631,-0.2037523010431739,-1.0933809925572422,-0.5711844242689887
1950-02-22,-0.16111779779646287,0.23891342899026421,-0.20547142574138788,-1.0891676301471105,-0.5715983838258009
