,sicArtic_cluster1,sicArtic_cluster2,sicArtic_cluster3,sicArtic_cluster4,sicArtic_cluster5
1950-01-01,0.01249801047723464,0.3163076007019508,0.08217166681978809,0.012161444147548032,0.08678277046873499
1950-01-02,0.012273326712951421,0.3185398082484607,0.08210059142601957,0.012026087895069036,0.08528132797329682
1950-01-03,0.012065908636259618,0.3215136444137185,0.08215853856435641,0.011890165047988914,0.08404981503225628
1950-01-04,0.012216091060141574,0.3247086569142562,0.08220945536294522,0.01175509524678912,0.08305348820265447
1950-01-05,0.012719827680052035,0.33010353129348113,0.08224551891513479,0.011609426372194953,0.08215186386413834
1950-01-06,0.013137199222235144,0.33849776537401993,0.08230514411382496,0.01149265307682416,0.08144584429885983
1950-01-07,0.013692233129088776,0.3468147621520878,0.08245976009779547,0.01137563092087078,0.08071766217764266
1950-01-08,0.01427467284511115,0.3531862427388614,0.08275254767098285,0.011269459135150577,0.08018949523523475
1950-01-09,0.014808249842118903,0.36075768648711476,0.08294760522018102,0.011148715528041385,0.07969422182522211
1950-01-10,0.01531870997997845,0.36709084471435943,0.08301985123449797,0.010986368943807365,0.07901858858535413
1950-01-11,0.015815698183247504,0.3729620760401307,0.08299758533041016,0.010805341146498093,0.07804980663619131
1950-01-12,0.016209634236731725,0.37879774008158806,0.08303736531090096,0.01056120674264314,0.07662300872801622
1950-01-13,0.01652381748897141,0.38408359740370307,0.08325747926021884,0.010324947108311028,0.0749406744094995
1950-01-14,0.016833407847321964,0.38950305367709465,0.08357488763871586,0.010068760735956896,0.07300184569832213
1950-01-15,0.017093290974056572,0.39407761647983675,0.08372888243039582,0.009809800632387664,0.07055589319809938
1950-01-16,0.01710049047982855,0.39768841998781856,0.08307024211672241,0.00961841083381525,0.0678231797774164
1950-01-17,0.01627709175341606,0.39340245267329843,0.08304680843871626,0.009662216201848,0.06612829850231605
1950-01-18,0.01576824640324639,0.3923959615563979,0.08337059591414824,0.009977732414115523,0.06497682876574733
1950-01-19,0.01535189897562949,0.39188054952025586,0.08383598366920997,0.010283872981910417,0.06391312831700392
1950-01-20,0.014907706560166423,0.3917564982441089,0.08430806124599907,0.010597566867055437,0.06294257446625415
1950-01-21,0.01449269805355326,0.3920822076030453,0.0846025864528456,0.010910448088646786,0.06206579000568666
1950-01-22,0.014109201579519023,0.3923802636239405,0.08485583487031008,0.011225817723507251,0.06124991659479578
1950-01-23,0.013724723999902171,0.3924945556217453,0.08508769150979893,0.011560910040854341,0.06048237867421765
1950-01-24,0.01331595932375344,0.39250790320746676,0.08520767462086687,0.011885199834508007,0.059759633264719
1950-01-25,0.012883788344964817,0.3922184998890545,0.08515280605021625,0.012161211314201375,0.05904556470756704
1950-01-26,0.0124524698175073,0.3920306235128542,0.08507751158989461,0.012409055700404868,0.05829359557105726
1950-01-27,0.012064487780967166,0.39203822790049025,0.08478843366168033,0.012664282197852489,0.05758263725170306
1950-01-28,0.01171155199331966,0.392193787433409,0.08424486121290546,0.01291723357186571,0.05690608071366656
1950-01-29,0.011371106525357336,0.39217333090466616,0.08361439723983838,0.013163255246324702,0.056307494803056246
1950-01-30,0.01104590664047892,0.39205750207915785,0.08295040789202646,0.013368290743891936,0.055714709451545545
1950-01-31,0.010751505739433734,0.3919333533976894,0.08241296727116576,0.013530090334566054,0.05512837767653052
1950-02-01,0.010461463389524979,0.39183467944029,0.08181617072441753,0.013646533737147758,0.05449128916635183
1950-02-02,0.010259004800386209,0.39196527817648497,0.08087120498645566,0.01368051323377062,0.053723048025546144
1950-02-03,0.01014957464493413,0.3917151065078036,0.07982707627528449,0.013677445753327003,0.05289677535506707
1950-02-04,0.010466825020577001,0.3916635957549263,0.07877245797189285,0.013639876501346527,0.05211195242690167
1950-02-05,0.011019521791398876,0.3912417529624427,0.07770855752887504,0.013573508170502119,0.051331495060094705
1950-02-06,0.011514873169572556,0.39097383822464254,0.0766724041432641,0.013484778359598371,0.05042482937463233
1950-02-07,0.01201803091051285,0.391568253794462,0.07559163792620478,0.0133821681760901,0.04941526476276272
1950-02-08,0.012457963104190912,0.3929664010029464,0.07453703352244156,0.013284578783365105,0.048343359055414335
1950-02-09,0.012913609041236323,0.3945545951129777,0.07353096138547771,0.013235931125750932,0.047476780452985055
1950-02-10,0.013282560225847128,0.39518962023000037,0.07249421575099069,0.013223155385685604,0.04661210642488541
1950-02-11,0.013603583876329038,0.3959519752409516,0.07135466697411953,0.01323353902833223,0.0457633101576046
1950-02-12,0.01402182385546973,0.39685422605322535,0.0701552489615419,0.01323931631436289,0.04493348421959288
1950-02-13,0.014434633207885076,0.3980318221698917,0.06892750199570248,0.013244665379418569,0.044184543563347244
1950-02-14,0.014773756126052192,0.398978610577794,0.06783895560312989,0.013229650311466513,0.04353856816483162
1950-02-15,0.014337228585174982,0.3965249430022325,0.06707419414289245,0.013181893139488511,0.043165345574377685
1950-02-16,0.014031769896969516,0.392849599049806,0.06672611805301967,0.013242859239535604,0.04295316337964279
1950-02-17,0.013779123405245095,0.3889899321249377,0.06636896414062088,0.013324571856217469,0.04276179582600775
1950-02-18,0.013556802063818764,0.3848849541778416,0.06586221636684199,0.013433072607915202,0.042566481430732946
1950-02-19,0.013316515771067522,0.380287903660475,0.06523007075460974,0.013508228800312628,0.04237988929396582
1950-02-20,0.013077671647398216,0.37585113152819233,0.06468582957220603,0.013572118218427581,0.04214986482464858
1950-02-21,0.012885932862969865,0.37126254896835365,0.06429128507941277,0.013642355376616672,0.04188684844125547
