,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1950-03-19,91.16406,-472.76562,-3045.7812,793.53125,236.82031
1950-03-20,201.3125,697.5469,-2702.6797,999.0781,267.17188
1950-03-21,230.79688,1233.9922,-2022.0781,1748.1484,221.64844
1950-03-22,-737.9453,884.40625,-2153.3281,972.6094,141.45312
1950-03-23,-1651.2734,-496.95312,-1678.9141,507.78125,76.453125
1950-03-24,-1565.9219,441.1328,-377.0625,603.60156,6.921875
1950-03-25,-1343.5312,1003.8281,441.35156,505.35938,7.5078125
1950-03-26,-1185.4531,1368.8438,265.51562,908.8906,-42.617188
1950-03-27,-419.6172,624.4453,529.7969,623.3203,-99.0625
1950-03-28,-2.7265625,939.0078,817.0156,518.6328,-125.8125
1950-03-29,133.88281,752.7344,119.9375,-244.42969,-57.796875
1950-03-30,-747.1875,214.78125,-263.97656,-823.4375,-32.242188
1950-03-31,-784.53125,599.5703,-432.89844,-910.3906,-18.929688
1950-04-01,343.83594,636.53906,-591.4922,-261.9922,-90.890625
1950-04-02,865.33594,706.71875,-25.859375,307.625,-90.00781
1950-04-03,454.66406,158.64062,396.9375,-43.210938,-13.609375
1950-04-04,-204.99219,750.1406,644.7969,120.19531,46.304688
1950-04-05,-1776.4609,1426.5391,639.65625,14.046875,39.359375
1950-04-06,-2490.0156,1153.2891,71.53125,149.49219,33.296875
1950-04-07,-2332.086,471.15625,-567.4453,1630.6953,74.453125
1950-04-08,-2069.6406,-57.445312,-83.22656,-1227.2656,24.867188
1950-04-09,-1804.0,-172.5,1003.7656,-2785.039,16.921875
1950-04-10,-1007.58594,712.40625,1477.9453,-1395.9688,9.359375
1950-04-11,-572.27344,1618.3438,1326.1562,-306.20312,27.789062
1950-04-12,-910.83594,1230.9453,573.4453,945.7578,23.75
1950-04-13,-528.6953,590.1328,-655.0,1166.3672,127.75
1950-04-14,396.375,364.26562,-913.71094,475.60156,92.58594
1950-04-15,1426.5156,407.29688,-1743.2188,641.65625,-11.6328125
1950-04-16,1782.4453,-14.1640625,-2014.5156,1233.4453,-111.55469
1950-04-17,1153.1797,-1011.125,-1021.3828,757.78125,-176.59375
1950-04-18,754.3906,-572.6172,-304.71875,2829.3203,-99.89844
1950-04-19,487.59375,-146.86719,-206.4375,2682.211,-41.664062
1950-04-20,306.96875,-190.51562,-25.21875,1153.8281,-113.67969
1950-04-21,300.1328,-201.63281,-770.08594,207.57812,-111.85156
1950-04-22,645.84375,610.77344,-1814.8203,732.52344,-39.28125
1950-04-23,439.03125,-103.375,-680.10156,1107.2578,-18.179688
1950-04-24,715.2031,-956.71094,51.085938,-824.3047,-116.10156
1950-04-25,725.02344,-709.4453,1286.5,-1521.7734,-96.546875
1950-04-26,539.8125,-461.25,1391.7422,-696.3281,-25.898438
1950-04-27,439.20312,-178.48438,1361.25,93.0625,-61.882812
1950-04-28,407.8125,529.96875,884.9531,-778.6719,-109.53906
1950-04-29,228.66406,366.96094,612.03906,-1337.7656,-109.92969
1950-04-30,162.95312,567.53125,805.625,478.71094,-95.25
1950-05-01,360.64844,1323.5156,900.65625,-1588.3359,-114.125
1950-05-02,870.46875,1871.7812,633.21875,-2165.7969,-93.24219
1950-05-03,775.25,1634.625,-63.429688,-1308.6719,-111.92969
1950-05-04,316.8828,1980.0625,-325.875,-779.72656,-157.96094
1950-05-05,26.203125,1986.9531,-252.58594,-93.609375,-187.38281
1950-05-06,-284.0703,513.47656,-211.98438,308.75,-153.69531
1950-05-07,-282.1953,366.73438,-145.125,-53.054688,-41.5
1950-05-08,112.77344,580.3906,430.01562,-1554.4375,-109.16406
1950-05-09,156.07031,66.30469,463.0625,-3187.414,-107.453125
1950-05-10,-196.4375,80.5625,325.0078,-3468.5078,-112.13281
1950-05-11,-78.02344,786.6797,234.92969,-1955.1328,-46.453125
1950-05-12,123.24219,897.875,108.52344,-1461.4297,103.390625
1950-05-13,78.14844,158.35156,352.17188,-2362.625,128.88281
1950-05-14,451.02344,5.53125,1091.2109,-1696.7266,68.66406
1950-05-15,790.22656,-429.82812,1340.4141,-870.9375,-11.515625
1950-05-16,1000.33594,-602.52344,1056.7578,-1786.0938,127.5
1950-05-17,726.5078,-712.2031,998.2031,-792.28125,101.828125
1950-05-18,-53.796875,535.65625,494.97656,-364.53906,19.890625
1950-05-19,-118.328125,1500.3906,-272.96094,-613.2969,20.898438
1950-05-20,-797.4453,1516.2344,-355.64844,136.76562,-46.554688
1950-05-21,-193.15625,1154.3438,-59.71875,2815.9062,6.2421875
1950-05-22,-1395.8828,838.2344,-208.41406,2477.5234,-1.75
1950-05-23,-1904.4297,272.39844,-193.64062,2171.2031,42.101562
1950-05-24,-1054.8594,184.35156,-282.51562,1425.7109,-43.78125
1950-05-25,-1005.875,299.14062,-341.1172,807.9844,-33.125
1950-05-26,39.171875,58.875,-836.83594,168.59375,58.9375
1950-05-27,673.85156,517.3906,-1054.9766,-203.57812,13.9453125
1950-05-28,64.796875,830.5547,-617.09375,30.664062,-75.88281
1950-05-29,-231.5,958.4844,-514.91406,-1261.875,-1.3125
1950-05-30,-405.25,803.3594,-247.38281,-1644.1875,51.476562
1950-05-31,-898.96094,793.3125,8.3671875,-408.17188,60.0
