,cluster,nodes_lat,nodes_lon
226,4,69.5,36.5
227,4,69.5,37.0
228,4,69.5,37.5
229,4,69.5,38.0
230,4,69.5,38.5
231,4,69.5,39.0
232,4,69.5,39.5
233,4,69.5,40.0
234,4,69.5,40.5
235,4,69.5,41.0
236,4,69.5,41.5
237,4,69.5,42.0
238,4,69.5,42.5
239,4,69.5,43.0
240,4,69.5,43.5
241,4,69.5,44.0
242,4,69.0,-16.0
243,4,69.0,-15.5
244,4,69.0,-15.0
245,4,69.0,-14.5
246,4,69.0,-14.0
247,4,69.0,-13.5
248,4,69.0,-13.0
249,4,69.0,-12.5
250,4,69.0,-12.0
251,4,69.0,-11.5
252,4,69.0,-11.0
253,4,69.0,-10.5
254,4,69.0,-10.0
255,4,69.0,-9.5
256,4,69.0,-9.0
257,4,69.0,-8.5
258,4,69.0,-8.0
259,4,69.0,-7.5
260,4,69.0,-7.0
261,4,69.0,-6.5
262,4,69.0,-6.0
263,4,69.0,-5.5
264,4,69.0,-5.0
265,4,69.0,-4.5
266,4,69.0,-4.0
267,4,69.0,-3.5
268,4,69.0,-3.0
269,4,69.0,-2.5
270,4,69.0,-2.0
271,4,69.0,-1.5
272,4,69.0,-1.0
273,4,69.0,-0.5
274,4,69.0,0.0
275,4,69.0,0.5
276,4,69.0,1.0
277,4,69.0,1.5
278,4,69.0,2.0
279,4,69.0,2.5
280,4,69.0,3.0
281,4,69.0,3.5
282,4,69.0,4.0
283,4,69.0,4.5
284,4,69.0,5.0
285,4,69.0,5.5
286,4,69.0,6.0
287,4,69.0,6.5
288,4,69.0,7.0
289,4,69.0,7.5
290,4,69.0,8.0
291,4,69.0,8.5
292,4,69.0,9.0
293,4,69.0,9.5
294,4,69.0,10.0
295,4,69.0,10.5
296,4,69.0,11.0
297,4,69.0,11.5
298,4,69.0,12.0
299,4,69.0,12.5
300,4,69.0,13.0
301,4,69.0,13.5
302,4,69.0,14.0
303,4,69.0,14.5
304,4,69.0,15.0
305,4,69.0,15.5
306,4,69.0,16.0
307,4,69.0,16.5
308,4,69.0,17.0
