,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-03-27,15.394363,-6.118927,-11.332764,0.8674927,-18.871658
1950-03-28,5.470001,7.3731384,-16.859955,0.2685547,11.187317
1950-03-29,-12.938797,-2.1138916,-18.769958,-0.6098633,-5.9812927
1950-03-30,-8.648834,-17.720184,-3.815796,-5.9667664,-5.136444
1950-03-31,77.77257,-10.603943,-21.557617,-9.641205,15.258255
1950-04-01,44.518097,-12.585632,-13.208221,-11.764008,-13.841965
1950-04-02,8.620026,-3.3968353,-7.6296387,-17.09964,4.9919434
1950-04-03,-3.2290802,0.7199402,-9.037537,2.6791382,-16.223557
1950-04-04,-8.771271,5.489731,-12.981293,-3.3175354,-16.647995
1950-04-05,-10.00235,7.9240723,-11.421265,-10.447998,-13.427383
1950-04-06,-17.493805,-0.24472046,-10.624359,-2.6784668,-1.346756
1950-04-07,-2.629898,6.402954,-9.683472,-5.8259277,2.4350739
1950-04-08,-20.668808,1.3273621,-8.145813,-8.5914,19.57489
1950-04-09,-9.033173,-0.46002197,-9.351715,-3.0855103,3.393814
1950-04-10,7.693634,-0.0007019043,-7.7000427,27.921204,5.3212433
1950-04-11,-10.186478,-4.326538,-6.560547,38.211533,-1.7470245
1950-04-12,-22.169434,0.4177704,-12.17749,6.544861,11.094742
1950-04-13,-25.33339,-12.144089,-1.2893372,7.9699707,-7.479645
1950-04-14,-30.144104,-4.3984528,-1.3673401,-12.441528,-10.282547
1950-04-15,-36.24449,-12.164307,1.0567627,-12.474457,-8.128967
1950-04-16,-29.071167,-5.686325,-6.4753113,-13.761353,-12.559738
1950-04-17,-36.283295,-7.17511,-8.1440735,-18.684875,12.976852
1950-04-18,-42.644806,-4.669571,-12.883514,-20.194153,5.2082825
1950-04-19,-40.73535,1.6541138,-21.297455,0.26409912,9.778259
1950-04-20,-16.497284,1.7457123,-9.020111,5.4599915,5.5639954
1950-04-21,5.213669,-6.800583,4.860718,-17.134125,0.4004364
1950-04-22,-23.18834,-28.541626,16.201141,-14.050995,-13.205917
1950-04-23,-25.250046,-28.87642,-16.103333,-12.157288,-12.17308
1950-04-24,-4.6854553,-29.31543,-20.879791,-0.94381714,13.090851
1950-04-25,8.158371,-10.360535,-18.395721,30.36972,12.994919
1950-04-26,24.08722,-10.437332,-14.373688,23.513306,24.615173
1950-04-27,25.310318,-17.3042,-15.780304,10.168091,4.5048065
1950-04-28,19.814377,3.944168,-19.9133,8.698425,29.137344
1950-04-29,21.368439,-18.81784,-14.600983,17.179047,-3.4261322
1950-04-30,10.044647,-12.924255,-24.53543,19.279907,-4.86763
1950-05-01,4.7811127,-4.2558136,-16.531769,-13.4729,0.41615295
1950-05-02,15.742767,19.878616,-6.309845,-2.1233826,5.8047333
1950-05-03,-3.3110962,12.967773,-3.635559,18.788483,-10.300735
1950-05-04,11.6502075,1.9162292,-3.189209,18.5596,-17.439621
1950-05-05,-6.488556,10.990768,-6.015045,26.890625,-15.905945
1950-05-06,-6.277725,-10.13443,12.644836,21.59845,4.2819366
1950-05-07,-3.0101318,-4.1375275,2.0365906,87.51491,-24.100983
1950-05-08,57.687424,-1.5178986,-24.117035,65.391815,-25.182617
1950-05-09,26.027328,-10.499344,-14.287262,51.519882,-19.452255
1950-05-10,19.529251,-8.823441,-5.691498,10.65332,-18.974396
1950-05-11,37.447784,-2.5176086,1.9654236,2.831665,-29.262924
1950-05-12,28.299164,5.457794,5.935028,-0.45373535,-27.208344
1950-05-13,25.93695,19.589615,50.388077,60.973694,-15.612961
1950-05-14,39.281982,3.3469086,9.163544,11.620361,-11.051788
1950-05-15,78.491104,-9.81044,-0.22207642,-2.9646606,-4.071228
1950-05-16,0.45663452,-9.823776,-10.0903015,-8.610565,-3.011856
1950-05-17,-24.987137,-6.1371613,-11.353882,-21.800446,3.2864075
1950-05-18,-9.503143,-25.10933,1.6022644,15.299194,6.1381836
1950-05-19,8.571518,0.3761139,-9.151337,92.596985,-11.747437
1950-05-20,54.91629,11.182785,-12.192352,115.2471,4.4276276
1950-05-21,5.6156006,17.483383,-15.688019,56.636536,-3.486084
1950-05-22,0.7942047,28.006683,-20.670563,36.971603,-6.703354
1950-05-23,-16.164444,13.727768,-17.367859,5.0444946,16.889084
1950-05-24,-10.406967,-14.356567,-9.527771,8.359772,0.5167389
1950-05-25,-9.139984,-15.938049,-11.715576,13.139008,24.348404
1950-05-26,11.878403,-14.943192,-11.717712,51.888916,-0.15646362
1950-05-27,20.050537,-7.4092865,-10.145325,27.591629,23.029846
1950-05-28,7.8615875,-7.0066833,-12.89566,68.42708,11.045975
1950-05-29,-11.4973755,10.102829,-15.664581,56.184204,1.5097198
1950-05-30,-14.585007,-4.244583,-20.620453,41.84973,11.136154
1950-05-31,-16.66536,-5.0560913,-21.214813,76.96849,-8.196213
1950-06-01,-3.3152313,-10.127136,-17.393219,49.958023,4.499481
1950-06-02,29.0596,-9.406891,-12.104828,26.046005,-14.020355
1950-06-03,51.044495,-12.179672,-10.292633,84.28679,-17.868027
1950-06-04,39.05887,-8.340042,-9.645905,49.254364,0.95469666
1950-06-05,56.44368,-9.123276,-4.54599,49.558228,-18.525833
1950-06-06,13.473221,-0.5466614,-0.87319946,67.25197,-18.517456
1950-06-07,7.1134186,-6.735962,-0.40292358,20.110977,13.61235
1950-06-08,38.073776,-13.09436,1.5645752,44.671555,-13.546707
1950-06-09,59.631516,19.573013,1.989502,81.78958,-0.83584595
1950-06-10,31.320587,10.763626,3.8188477,80.82851,-9.276779
1950-06-11,17.527634,-11.483124,4.855713,72.866196,-9.341278
1950-06-12,-23.682526,17.089294,-8.435822,23.024918,31.326187
1950-06-13,-33.6304,-15.404495,-11.964661,1.7479858,30.380264
