,z500World_cluster1,z500World_cluster2,z500World_cluster3,z500World_cluster4,z500World_cluster5
1950-03-18,-104.66797,604.9961,-1072.8438,-1681.1602,806.97266
1950-03-19,-33.882812,729.08203,-2255.9531,-1111.4883,871.66797
1950-03-20,-19.902344,952.3047,-2963.4219,102.12891,440.9922
1950-03-21,-44.214844,1086.5703,-2945.5742,747.4531,-145.98438
1950-03-22,-66.859375,1005.1719,-2555.5312,810.53906,-911.9219
1950-03-23,-109.41797,807.6211,-1421.3906,-661.9961,-1216.2031
1950-03-24,-110.55469,237.44922,16.039062,-343.04297,-1376.4219
1950-03-25,-112.89453,41.28125,338.1875,-229.79688,-1588.7773
1950-03-26,-166.45703,163.10547,704.9922,-102.75,-1539.4414
1950-03-27,-223.2461,-350.27344,1028.4375,-511.89844,-663.6211
1950-03-28,-260.6953,-307.25,1302.1602,-266.45312,-867.39844
1950-03-29,-206.35938,-436.65625,660.65234,-656.0469,-1581.25
1950-03-30,-167.7539,-723.39453,-158.08594,-1463.4297,-1322.6797
1950-03-31,-204.07422,-524.3047,-300.84375,-1272.1523,-842.77344
1950-04-01,-206.89453,-462.3711,-482.58594,-499.45703,-1182.0391
1950-04-02,-208.85156,-571.8125,-529.97656,-486.19922,-687.15234
1950-04-03,-173.30469,-509.42188,-491.95312,-1036.3555,-1049.3984
1950-04-04,-117.07422,-263.09375,-548.5625,-326.71094,-1357.4492
1950-04-05,-110.81641,-375.88672,-913.71484,423.98828,-1393.3047
1950-04-06,-131.80078,-15.605469,-1407.7539,52.828125,-1855.8828
1950-04-07,-107.00391,1206.4062,-1580.7188,-486.2461,-2235.957
1950-04-08,-147.32812,-839.27344,-1376.332,-820.1953,-2138.5312
1950-04-09,-130.25,-1044.668,-393.64844,-966.65234,-1324.1367
1950-04-10,-132.76172,111.04297,656.125,-270.25,-788.8203
1950-04-11,-134.71875,-1544.2773,1182.3633,1170.1875,-959.0156
1950-04-12,-114.96094,1018.16406,1224.9609,1066.0234,-1362.457
1950-04-13,-15.988281,1363.6875,561.7969,413.89453,-2054.7422
1950-04-14,19.539062,-29.128906,444.66016,295.60547,-2104.5586
1950-04-15,-62.429688,621.0156,508.4414,351.2422,-2504.0117
1950-04-16,-171.05469,1614.9883,225.00781,-257.9453,-2875.2344
1950-04-17,-203.75,1504.1484,34.660156,-837.1406,-2600.2969
1950-04-18,-145.78125,3257.496,94.71875,-648.6406,-1910.4258
1950-04-19,-133.19922,2253.629,-453.96094,-537.8047,-1989.6094
1950-04-20,-177.15625,-49.691406,-438.5703,-471.15625,-2094.1445
1950-04-21,-236.80078,-905.53906,280.29297,-493.1172,-2650.7852
1950-04-22,-197.59375,-1042.8555,1.4609375,-7.046875,-2136.2812
1950-04-23,-162.83594,76.74219,-396.41016,-382.17578,-815.08984
1950-04-24,-203.92969,-1484.2617,-642.6172,-1237.3828,-1245.4688
1950-04-25,-210.89844,-2138.3984,101.09375,-1471.3516,319.28906
1950-04-26,-179.48828,-2193.4102,726.16797,-588.5625,716.5586
1950-04-27,-190.51562,-808.83594,443.41016,-100.23828,944.90234
1950-04-28,-257.26172,-1005.64453,656.5781,168.20703,544.4258
1950-04-29,-281.7578,-1798.4258,668.0742,-101.37891,-133.71094
1950-04-30,-276.3789,-667.0469,457.16016,613.34375,-462.66797
1950-05-01,-272.67188,-1510.6797,568.14844,1942.5781,-1072.7461
1950-05-02,-236.02734,-1460.2812,531.46484,2195.3398,-1167.8477
1950-05-03,-215.28906,-463.8164,-482.9336,1690.8789,-1483.3672
1950-05-04,-233.67969,-99.95703,-356.01562,2132.0,-1497.6055
1950-05-05,-243.94531,91.4375,85.56641,2116.4375,-728.60547
1950-05-06,-180.84375,198.36719,54.0625,746.3789,-277.94922
1950-05-07,-103.17578,-522.8867,-39.25,-100.59766,-237.52734
1950-05-08,-123.94141,-1501.0156,-998.9258,-205.71875,-125.22656
1950-05-09,-175.33594,-2148.1758,-1360.9727,-451.1328,-642.41406
1950-05-10,-202.79297,-1531.918,-1092.8438,-762.6328,-854.3203
1950-05-11,-136.4336,-1001.21094,-1085.6758,-621.6406,-90.19922
1950-05-12,-56.367188,-1521.0,-1068.5195,-410.16406,728.0078
1950-05-13,-112.71484,-2111.4375,3.3164062,-485.48438,1528.4727
1950-05-14,-196.07812,-1849.0,721.3008,-541.02734,1802.1445
1950-05-15,-206.45703,-1411.7773,576.89844,-734.73047,1823.1367
1950-05-16,-120.66797,-1218.3438,252.88281,-829.96094,1903.5234
1950-05-17,-119.203125,-1257.75,667.3086,-1132.8281,1881.3398
1950-05-18,-142.54688,-1097.5898,473.83594,-718.3906,1181.8438
1950-05-19,-148.5,-2052.5,328.57812,244.0586,10.589844
1950-05-20,-180.10547,-1124.6758,-93.66797,820.0586,-457.4414
1950-05-21,-133.41797,1896.3203,-305.10156,978.8047,-607.3008
