,mslEurope_cluster1,mslEurope_cluster2,mslEurope_cluster3,mslEurope_cluster4,mslEurope_cluster5
1950-03-17,-542.9844,606.625,-3152.336,-1445.1484,2112.914
1950-03-18,-1060.3984,707.71875,-1925.0938,-1520.3672,1780.9531
1950-03-19,-537.1719,390.26562,121.78906,-1079.3594,1730.75
1950-03-20,-693.34375,529.5156,572.1172,-960.5547,1366.9297
1950-03-21,-583.7656,477.0703,850.28906,-246.625,740.71094
1950-03-22,712.6094,254.74219,328.34375,294.9922,677.9453
1950-03-23,1521.1797,793.4375,187.86719,413.95312,735.5156
1950-03-24,886.27344,848.84375,209.00781,1216.6875,1172.0469
1950-03-25,1155.6406,298.59375,-194.84375,1182.4453,1197.5938
1950-03-26,849.64844,-380.23438,287.5625,803.8828,1098.9219
1950-03-27,-668.90625,-556.0547,1957.9375,1150.5156,475.92188
1950-03-28,-533.3672,-663.9531,1192.3359,1287.2891,-593.58594
1950-03-29,-1359.5156,-1093.8906,1105.9062,827.8203,-311.35938
1950-03-30,-1316.375,-729.0781,-562.97656,946.2031,-422.2422
1950-03-31,-1604.3516,-506.77344,-2579.375,587.625,-281.83594
1950-04-01,-2681.0547,-121.03906,-3004.289,-444.9453,-456.3125
1950-04-02,-3125.125,-148.57812,-2601.4844,-2091.6562,-991.5078
1950-04-03,-2571.75,-799.0,-947.4219,-858.7656,-1062.2031
1950-04-04,-1605.9375,-454.66406,-612.0469,-698.875,-1346.6875
1950-04-05,-1263.4531,-120.03906,-586.97656,-235.33594,-1796.4141
1950-04-06,-707.5781,-128.03906,30.59375,108.55469,-209.05469
1950-04-07,975.7656,171.58594,-789.125,34.429688,257.48438
1950-04-08,810.8047,661.96875,-3199.7969,-916.2031,650.0078
1950-04-09,-1143.3984,636.2422,-3874.7578,-814.2422,405.33594
1950-04-10,-1571.1406,243.28125,-3263.5,-1113.5078,-657.1328
1950-04-11,-909.90625,71.78125,-2065.0312,-1258.5469,-824.9453
1950-04-12,-736.6094,-177.34375,-1200.7656,-1423.3359,-517.5078
1950-04-13,-473.0703,-509.66406,-991.0781,-1199.7266,-200.61719
1950-04-14,-945.39844,-587.71875,-715.4219,-675.5547,-355.53906
1950-04-15,-1162.9062,-319.0,-924.9219,196.19531,-24.367188
