,sicArtic_cluster1,sicArtic_cluster2,sicArtic_cluster3,sicArtic_cluster4,sicArtic_cluster5
1950-03-16,0.019450724,0.14809974,0.033563673,0.009010792,0.026125193
1950-03-17,0.019332707,0.14828171,0.03320551,0.008899689,0.026070297
1950-03-18,0.019194424,0.14908624,0.033521652,0.0087375045,0.02645576
1950-03-19,0.019052565,0.14967555,0.03389579,0.00862962,0.026932776
1950-03-20,0.018958211,0.15029816,0.03447354,0.008595765,0.027353942
1950-03-21,0.01886791,0.15108816,0.035138547,0.008643925,0.027764559
1950-03-22,0.018743932,0.15196995,0.035483778,0.00863421,0.028321862
1950-03-23,0.01858294,0.15256485,0.03597182,0.008524001,0.028965533
1950-03-24,0.018456817,0.15308845,0.036664665,0.008486927,0.029480457
1950-03-25,0.018311143,0.153783,0.037320435,0.00842756,0.030007422
1950-03-26,0.018177688,0.15435606,0.03799349,0.008328974,0.030579448
1950-03-27,0.018173337,0.15516853,0.038906693,0.008275151,0.03125918
1950-03-28,0.018170476,0.15595114,0.039487004,0.008271158,0.031887114
1950-03-29,0.018151104,0.15711765,0.039695203,0.008234143,0.032528162
1950-03-30,0.018065333,0.15856662,0.039791405,0.00814116,0.033219576
1950-03-31,0.017965138,0.15992165,0.03979546,0.007931471,0.03398198
1950-04-01,0.017839432,0.16121255,0.03958857,0.007691622,0.034620166
1950-04-02,0.01767528,0.16246477,0.039295137,0.007500708,0.035280526
1950-04-03,0.017558455,0.16337125,0.039090574,0.007311523,0.03598249
1950-04-04,0.017481327,0.16419563,0.039144278,0.007150531,0.03659916
1950-04-05,0.017422557,0.16505118,0.039297104,0.00703907,0.03727913
1950-04-06,0.017422438,0.16582814,0.039628327,0.0069105625,0.037994802
1950-04-07,0.01744467,0.16656487,0.039946318,0.006809354,0.038758516
1950-04-08,0.017464757,0.16733678,0.040385365,0.0066631436,0.03975433
1950-04-09,0.017535329,0.16800034,0.040993452,0.006559968,0.040948153
1950-04-10,0.017537594,0.16868195,0.04151839,0.006471932,0.042086363
1950-04-11,0.017457902,0.16924825,0.041974127,0.0063426495,0.043120205
1950-04-12,0.01740253,0.16989584,0.042612076,0.0062988997,0.04421389
1950-04-13,0.017382503,0.17063314,0.04338485,0.0063088536,0.04518622
1950-04-14,0.017326295,0.17129831,0.044098854,0.006416142,0.046061754
1950-04-15,0.017214894,0.17184053,0.044819474,0.006520033,0.047093093
1950-04-16,0.01714784,0.17166634,0.045455337,0.006708443,0.048085153
1950-04-17,0.017130315,0.17117615,0.045678735,0.0069593787,0.04854834
1950-04-18,0.017142713,0.17081308,0.04572636,0.0071567297,0.049021542
1950-04-19,0.017206967,0.17045896,0.045591116,0.0073521733,0.049616158
1950-04-20,0.017297387,0.1701728,0.045531392,0.0075401664,0.050293684
1950-04-21,0.017347813,0.16979101,0.045645833,0.007672608,0.050899804
1950-04-22,0.017473757,0.16971447,0.04572457,0.007860422,0.051500916
1950-04-23,0.017635524,0.16976619,0.045800447,0.008014917,0.052089334
1950-04-24,0.01783824,0.16991998,0.04580623,0.00826478,0.052784145
1950-04-25,0.018042564,0.17016663,0.045844257,0.008491516,0.053396285
1950-04-26,0.018139243,0.17033403,0.04562497,0.008683741,0.053810835
1950-04-27,0.018193662,0.17040645,0.045411706,0.008947909,0.053924263
1950-04-28,0.01819235,0.17035885,0.045422077,0.009224772,0.054059565
1950-04-29,0.018206775,0.17010243,0.045347333,0.009575188,0.054498553
1950-04-30,0.018235266,0.16972329,0.045001984,0.010060966,0.054930866
1950-05-01,0.018179595,0.16928768,0.0443812,0.010513842,0.05550289
1950-05-02,0.018187165,0.16888726,0.044002175,0.010948122,0.055892766
1950-05-03,0.01825881,0.16889566,0.04371667,0.011342645,0.056722403
1950-05-04,0.01838535,0.16881256,0.043524742,0.011928916,0.057947814
1950-05-05,0.018482685,0.16855578,0.043200552,0.012579441,0.059523225
1950-05-06,0.018597364,0.16814202,0.04264301,0.013311923,0.061172247
1950-05-07,0.018799722,0.16766225,0.042448223,0.014067829,0.06274676
1950-05-08,0.019135237,0.16715822,0.042114973,0.014808476,0.0641402
1950-05-09,0.019645274,0.16668561,0.042050123,0.015404284,0.06545371
1950-05-10,0.020303786,0.16628578,0.042084754,0.015944242,0.066937864
1950-05-11,0.021043003,0.16601712,0.042218626,0.01650554,0.068665564
1950-05-12,0.021889687,0.16558734,0.042420924,0.01703918,0.0705238
1950-05-13,0.022870183,0.16511232,0.042476475,0.01763755,0.07269251
1950-05-14,0.023901224,0.16464347,0.042419016,0.0182122,0.07544243
1950-05-15,0.02510637,0.1641409,0.042316914,0.018932283,0.078311086
1950-05-16,0.026279986,0.16396788,0.042364836,0.0195117,0.08126807
1950-05-17,0.02755475,0.16387834,0.044069648,0.019910753,0.085782826
1950-05-18,0.028854012,0.1627117,0.04673642,0.019724905,0.090052664
1950-05-19,0.030048788,0.16153939,0.049574554,0.019688249,0.094132066
1950-05-20,0.03126663,0.16048087,0.05229622,0.019684494,0.09818417
1950-05-21,0.03255844,0.15943353,0.054705143,0.019743145,0.10200614
1950-05-22,0.03384459,0.15828785,0.056978106,0.019950211,0.10561919
1950-05-23,0.035159826,0.1571935,0.05915284,0.020216703,0.10914707
1950-05-24,0.036361873,0.15606537,0.06150168,0.020379901,0.11257726
1950-05-25,0.03750223,0.15484564,0.063774526,0.020857215,0.11607289
1950-05-26,0.038683712,0.15361911,0.06595379,0.021518886,0.119874
1950-05-27,0.039928377,0.15240058,0.067864716,0.021830201,0.12389088
1950-05-28,0.041202247,0.15110183,0.06962156,0.02191323,0.1278367
1950-05-29,0.04223597,0.149786,0.07124716,0.022139788,0.1317864
1950-05-30,0.042924345,0.14856003,0.073096514,0.022600591,0.13589114
1950-05-31,0.043633997,0.14736299,0.07532436,0.022898555,0.13970214
1950-06-01,0.04429829,0.14614365,0.077700794,0.023203254,0.1433146
1950-06-02,0.044736445,0.14477418,0.08006835,0.023924053,0.1466623
1950-06-03,0.044970572,0.14344926,0.082137525,0.024961531,0.1499651
1950-06-04,0.04524082,0.14211264,0.08390933,0.025803745,0.15285861
1950-06-05,0.045467556,0.14082305,0.08599323,0.026809573,0.15607852
1950-06-06,0.04549873,0.1395533,0.08772594,0.028210223,0.15960628
1950-06-07,0.04542184,0.13834375,0.089117765,0.029833198,0.16318715
1950-06-08,0.045067668,0.13706693,0.09032136,0.031887114,0.16676766
1950-06-09,0.044561088,0.13588645,0.091477215,0.03450972,0.17051613
1950-06-10,0.04410094,0.13561285,0.09280032,0.037139,0.17422754
1950-06-11,0.043670177,0.14428994,0.094325066,0.039702833,0.17803419
1950-06-12,0.043332875,0.14338118,0.09609997,0.04220742,0.18203574
1950-06-13,0.04306084,0.14255941,0.09817374,0.045004845,0.18604112
