,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-01-01,22.335128631670806,-1.2690993779590984,-19.337524570637605,-26.308978312585868,-5.110399763528097
1950-01-02,17.18361222412419,-1.2925562706119453,-19.239113831764445,-18.540108244459464,3.9047210536260724
1950-01-03,14.992080049448822,-1.3651665433038356,-19.979266599832833,-14.342392846910446,-3.665161147104741
1950-01-04,21.023631494926896,-0.8146853955806735,-13.041086115848852,-10.818500312946039,-7.336882752419677
1950-01-05,26.883190923723014,0.7366561586070167,-13.252646595253625,-4.040135406446344,3.3262398138213536
1950-01-06,26.697206001354417,4.347009155099205,-15.182922656726252,4.415386054927238,13.93100843826941
1950-01-07,31.323357701945152,2.163457017104674,-8.101418231549935,12.10396655749299,12.08800676693508
1950-01-08,31.327204733515604,-0.8564219100363927,3.4322738821005547,4.913477685141792,9.787413067724508
1950-01-09,22.597644459564318,-0.18578127960753635,-10.12134909306196,14.069156519386825,3.653281304290616
1950-01-10,8.283238475940909,2.247230603263897,-15.600829894985328,27.53474770636698,6.922687127683262
1950-01-11,3.1513595728632904,0.37048379050533503,-19.1524580481131,27.502909983803665,5.581528738872633
1950-01-12,7.115388348831471,0.18039944744901676,-24.751900611496147,27.91696496955915,3.312747957485136
1950-01-13,16.67889347368652,-2.248544778379147,-23.38043023617309,27.708498554344576,0.7276077393079717
1950-01-14,18.132943729956857,-2.173716748739695,-20.879545777641454,18.08720523177842,-10.418037132483432
1950-01-15,12.13106219930211,-0.9456440478300041,-24.30645169524594,26.208273666429683,-0.09816883727776478
1950-01-16,7.50933980783657,0.6437476788500744,-21.483621168796464,13.350104693050973,-0.9383012294483815
1950-01-17,10.200068578541698,0.07203123489047031,-13.450809469924417,-7.576340566130834,-0.5197034930759682
1950-01-18,14.668046285774127,0.11218241175842024,-10.651515644665443,-20.462094732284683,4.190767097601141
1950-01-19,7.13765022234891,0.8041933894640882,-8.315420898456342,-22.573107145470463,0.6702523829408394
1950-01-20,-0.1476729971463904,-0.7838883576800552,0.660149239436365,-22.91769967942855,-4.970937185378796
1950-01-21,4.517686489884654,-0.35582447195450495,-1.0147520262236616,-27.282543612572518,-15.469786276951112
1950-01-22,9.446393932583346,2.163634345132999,6.353508758849387,-28.218273318894614,-16.43081390548023
1950-01-23,9.0795077794692,-0.7392168258289061,16.75806026151697,-31.82831322921695,-16.819508877473478
1950-01-24,9.48051568371433,-1.4528396783236328,5.289775271255509,-19.538350417541388,-16.439300161541208
1950-01-25,17.97488070289328,-4.1721058316818365,-4.661380957400318,3.2835760496694784,-15.95194460376581
1950-01-26,31.825380083076563,-6.845096264835143,-4.332720143412879,32.54793889070032,-11.863001060886756
1950-01-27,37.36219573380855,-3.63866318023753,-9.399525355806503,38.66058219823625,-10.182635271056116
1950-01-28,33.97623251013451,-0.510321639606976,-2.9545222281169474,38.926168545948116,-7.249491430951823
1950-01-29,28.706782416296136,1.0252272622117276,-3.42135420617351,45.14278470009124,-4.213035036162988
1950-01-30,29.513814335125872,1.4824111093758712,-5.713581028891036,44.79844749105574,5.42647225413347
1950-01-31,37.274458513896825,1.7391407098012877,-5.340908402790173,42.6804096138616,5.160328843862334
1950-02-01,36.32371756166424,-0.5610257808750149,5.359240961477812,37.33981995222386,6.242931443022067
1950-02-02,25.09081397577428,-2.7384846806908705,11.066606800963703,25.796003542571523,9.504966450429864
1950-02-03,22.464296980780382,-3.396024957272049,9.547240630529858,27.67852325722514,11.781069944430161
1950-02-04,23.01332361428839,-3.2473166497567707,-3.9114464266828577,24.057199787184246,16.96540487657349
1950-02-05,26.509479485731188,-1.4351761007431578,-9.532069623429543,16.176761927986337,10.660535884524108
1950-02-06,23.81228009512121,0.5360983793697761,-8.320207138183022,26.32834352649608,2.184093703193881
1950-02-07,16.336681883008417,0.5048632233472967,-9.923172484826676,14.162580736671092,3.345607651623002
1950-02-08,11.505909623649938,0.0517436162305433,-15.611916717280497,29.56931372888366,-3.1022640091611895
1950-02-09,13.517205131919452,-1.3555001085703289,-16.64141504479392,28.70470034659107,1.7908861824433224
1950-02-10,17.01333472217607,-2.8151955112020857,-18.95906425279121,11.576739094507616,2.514961593122558
1950-02-11,11.326533007793824,-3.935470827048178,-18.079879995958553,-2.7899800175242864,-0.6780336671339475
1950-02-12,9.079636924385214,-6.699565270320465,-12.229227839249287,6.6001812812503164,4.403281559218875
1950-02-13,17.431715342072646,-6.79856767696273,-13.373537743411706,-6.449056052310573,5.052232913195238
1950-02-14,29.27979834889579,-4.185137784847684,-17.396523691343532,-22.686734872804724,3.995356511043081
1950-02-15,29.251274300861585,-4.165647526485195,-19.957284889359002,-39.723465229485,1.8198249842951106
1950-02-16,21.181615795331762,-6.216043022161279,-17.25590615454651,-37.96478094983373,-3.4138047456484695
1950-02-17,15.049160533988294,-7.401912982520524,-18.961066054892058,-29.350974390944042,-6.70001971934529
1950-02-18,12.824608263798547,-5.52580938991729,-22.80773353135601,-32.27777845563636,-13.851230669905567
1950-02-19,7.4096458714263616,-6.028175838603652,-19.868920939085758,-25.313159277610104,-1.4529185066366737
1950-02-20,0.5695787531509781,-5.705608232916852,-21.29092336099009,-3.520814182955117,8.01315399114803
1950-02-21,-5.468510203710529,-3.7293336571473437,-19.182881122077966,-10.176155985616722,4.691281046639502
1950-02-22,-3.082854693939828,-0.9141719718353645,-12.93059066099614,-22.842083962970293,-2.4893149446539784
